stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,54.06,1078.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.87,0,0,0,0,0,0,0
  5-6,0,310.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0,0,0,0,0,0,0
  7-9,8.38,22.53,0,4.32,0,0,0,0,0,0,0,14.57,0,0,0,0,0,0,0,341.05,0,0,123.5,0,0,0,0,0,0,0,0
 10-12,0,22.25,0,72.3,0,0,16.4,0,0,0,0,0,0,0,0,0,0,0,0,1183.11,30.63,0,248.81,0,0,90.46,0,6.57,0,0,0
 14-21,0,0,0,0,115.56,7.45,0.99,0,0,1.01,12.03,2.87,0,0,0,0,31,0,7.58,14.84,2.64,0.96,7.52,0.85,6.1,8.93,0,36.61,0,1.76,0
 24-34,0,0,0,0,48.98,0,0,10.78,3.74,1.81,5.31,0,0,2.24,1.21,3.65,24.63,1.14,6.84,12.96,0,1.03,0,0,0,0,1.69,41.79,0,7.98,2.54
 36-46,0,0,0,0,9.77,0,0,0.68,0.78,0,0,0,1.71,0,0,0,5.07,0,4.33,0.68,0,0.6,0,0,0,0,0,0,0,10.77,0
 48-58,0,0,0,0,3.1,0,2.15,0.55,0,1.8,0.89,0,0,0,0,0,1.55,0,0,2.96,0,0,0,0,0,0,0,0.82,0,0.37,0
 60-70,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,1.18,0,0,0,0,0,0,0,0,0,0,7.32,0,0,0
 72-82,0,0,0.53,0,1.48,0,0,0.55,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,0,0,0.51,0,0
 84-94,0,0,0,0,0.64,0,0,1.78,1.65,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,1.03,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0
