stage,axial,blastomeres,endoderm,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,lateral_line,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,127.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,217.65,0,0,0,0,0,0,0,0,0,0,0,47.15,0,0,0,9.28,0,0,0,0,0,0,0,0,0,0
  7-9,12.56,20.3,0,0,0,12.89,0,0,0,0,0,0,0,166.92,9.14,0,0,32.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,9.27,0,0,0,0,0,0,0,0,0,0,95.97,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.88,0,1.93,0,0.95,0,0,0,0.85,0,7.04,0,0,0,0,0,1.03,3.37,0,1.13,1.89,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,0,0,4.44,0,0,0,0,0,3.03,0,0,0,0,0,0,0,0
 36-46,0,0,0,0.94,0,0.65,0,0,0,0,0,1.65,0,9.18,0,0,0,0,0,6.39,0,0,0,1.33,0,1.35,0,0
 48-58,0,0,0,0,0,0,1.96,0,0,0,0,1.86,0,12.48,0,0,0,0,0,0.65,0,0,0,1.31,0,0,0,4.45
 60-70,0,0,0,2.51,0,0,0,1.15,0,0,0,0.73,0,1.16,0,0,3.63,0,0,0.59,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,2.58,0,2.56,0,0,0,0,0,1.26,0,0,0,0,2.88,0,0,0
 84-94,0,0,0,0,0,0,0,3.88,0.86,0,0.65,1.64,0,5.45,0,0.7,0,0,0,0.6,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,3.03,0,0,0,0,0,1.08,0,7.02,0,0,0,0,1.33,8.8,0,0,0,0,0,0,0,0
108-118,0,0,0.74,1.77,0.82,1.45,1.28,0,0.69,1.08,0,0.7,6.85,7.86,1.15,0,0,0,0,1.13,0,0.44,0,1,0,1.44,3.76,0
120,0,0,0,0,0,0,0,8.83,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
