stage,axial,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,slow.muscle,spinal.cord
  3-4,50.53,660.81,0,0,0,0,0,0,0,0,0,0,30.56,0,0,0
  5-6,6.35,275.49,0,0,0,0,0,7.48,0,0,0,0,9.07,0,0,0
  7-9,0,0,15.95,0,0,0,0,56.05,0,0,0,14.49,0,0,0,0
 10-12,0,0,10.66,0,0,0,0,78.09,0,0,0,27.34,0,3.03,0,0
 14-21,0,0,3.59,0,1.32,0,0,42.82,0,0,1.05,0,0,0,4.77,9.83
 24-34,0,0,3.9,0,0.61,1.31,0,21.35,0,0,0.79,0,0,0,0,8.33
 36-46,0,0,4.93,0,0.77,0,1.07,10.16,0,1.5,0,0,0,0,0,5.15
 48-58,0,0,9.69,0,1.03,0,0.39,8.59,0,0,0,0,0,0,0,3.57
 60-70,0,0,10.88,1.24,0,0,0,3.5,0,1.4,0,0,0,0,0,0
 72-82,0,0,4.64,0,3.69,0,0,3.56,0,0,0,0,0,0,0,1.13
 84-94,0,0,3.37,0,0,0.61,0,1.36,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,2.61,2.99,0,2.84,0,0,0,0,0,0,0,0.98
108-118,0,0,3.54,0,4.46,0.59,0,1.55,0,0,0,0,0,0,0,0
120,0,0,0,0,4.16,4.66,0,0,1.45,0,0,0,0,0,0,0
