stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,216.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0,0
  5-6,29.72,360.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.09,0,0,0,15.85,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,11.94,0,0,4.21,0,0,32.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.59,0,0,0,23.54,0,0,4.77,0,0,0,0,0,0,0,0,0,0
 10-12,0,4.79,0,0,0,0,14.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.23,18.43,0,0,35.72,0,0,0,0,13.11,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.95,45.57,6.82,36.77,1,0,19.11,0.81,13.63,1.76,0,0.82,0,0,0,34.77,0,19.83,514.26,2.9,3.98,1.99,11.58,0,2.97,0,54.55,3.29,0,37.61,119.35,0,0,0,0,0
 24-34,0,0,0,0,5.54,2.55,59.7,0.64,0,7.64,2.2,0,0,0,0.62,0,3.36,0,51.65,0,10.78,570.04,0,2.89,0.67,0,0,10.59,0,0,0.6,0.6,4.46,102.56,0,0,6.09,0,1.72
 36-46,0,0,0,0,1.96,0,95.23,0,0,9.18,0,0,0.71,0,0,0,0.66,0,45.56,0,12.98,310.75,0.58,0.83,1.66,0,0,2.22,0,0,0,0,0,71.26,0,0,10.77,0,1.9
 48-58,0,0,0,0,4.89,2.08,76.5,0,1.86,13.38,0,0,0.58,0,0,0,0,0,28.74,1.3,6.05,157.24,0,0.53,2.71,0,0,3.33,0,0,2.86,0,0,20.89,0,0,2.42,0,1.27
 60-70,0,0,0.82,0,6.47,0,67.56,1.77,1.77,18.71,2.35,0,0,0,0,0,0,0,23.5,0,4.23,87.6,0,1.29,0.76,0,0,1.35,0,0,9.88,0,0,12.52,0,0,5.62,2.04,0
 72-82,0,0,0,0,5.38,0,20.48,0,0.51,23.44,0,0,0,0,0,0,0,0,26.4,0,3.37,42.56,0,0.51,0,0,1.53,0,0,0,0,0,0,3.26,0,0.81,0,1.15,0
 84-94,0,0,0,0,9.57,0,36.96,0,0,7.63,0.68,0,0,0,0,0,0,0,32.9,1.27,6.81,42.68,0.76,0,0,0,1.59,1.03,0,0,0,0,0,1.15,0,3.1,3.09,0,0
 96-106,0,0,0,0,1.35,0,11.75,0,0,8.13,0,0,0,0,0,0,0,0,11.46,0,3.74,39.63,0,0.74,1.48,0,0,1.23,0,0,0.58,0,0,5.82,1.17,0,9.4,0,0
108-118,0,0,0,0,3.54,0,14.3,0,1.46,17.21,0,0,0,0,0.72,1.53,0,0.91,23.89,0,3.82,46.03,0,0,1.53,0,0,1.88,0,0,0,0,0,3.36,0,0,3.04,0,0
120,0,0,0,0,6.53,0,53.78,0,8.21,33.36,0,0,0,3.9,0,0,0,0,12.08,0,4.25,40.21,0,0,1.86,0,0,1.37,0,0,0,0,0,1.81,0,0,15.42,2.57,0
