stage,axial,blastomeres,mesenchyme,neural,periderm,spinal.cord
  3-4,11.1,56.58,0,0,0,0
  5-6,11.44,32.18,0,0,0,0
  7-9,0,0,0,9.83,0,0
 14-21,0,0,0,0,0,3.73
 60-70,0,0,1.07,0,0,0
 96-106,0,0,3.23,0,0,0
108-118,0,0,6.11,0,0,0
120,0,0,0,0,1.8,0
