stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,liver,mesenchyme,mucous,mural.cell,muscle,neural,otic,periderm,pgc,slow.muscle,spinal.cord,taste,vasculature
  7-9,6.97,4.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.12,0,0,5.47,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,9.53,0,0,0,0,0,0,3.12,0,2.95,0,0,0,0,0
 24-34,0,0,1.14,0,0,0,0,0,67.5,0,0,0,0,0,0,6.75,0,44.43,0,0,0.99,0,0.59
 36-46,0,0,0,0,3.51,0,0,0,116.6,0,0,0,1.35,0,0,10.04,0,31.25,0,0,0,0,3.03
 48-58,0,0.43,0,0,9.18,1.35,0.47,0,75.13,0,0,0.49,0,0,0,1.83,0,20.06,0,0,0.72,0,1.23
 60-70,0,0,0,0,7.7,0,0,0,144.61,0,0,0.93,0,0,0,14.41,0,15.01,0,0,0,0,3.36
 72-82,0,0.75,2.48,1.44,3.64,0,0,0,117.76,0,1.19,3.31,0,0,0,9.68,0,25.64,0,3.02,1.16,0,4.1
 84-94,0,1.04,0,5.11,3.24,0,0,0,156.76,0.6,0,0.76,0,4.03,1.54,26.13,0,33.1,0,0,0,2.89,1.16
 96-106,0,0,0.74,1.4,9.41,0,0,0,217.57,0,0.63,3.33,0,0,0,8.63,0,33.8,0,0,0,0,7.6
108-118,0,0,8.19,5.11,1.15,0,3.61,1.1,253.78,0,0,2.26,0.53,0,0,11.59,0,23.36,0,0,0,0,5.75
120,0,0,2.77,0,1.29,0,8.22,0,429.69,0,0,0,0,0,2.53,36.66,3.63,20.59,0,0,0,0,20.1
