stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,142.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.28,235.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.13,9.25,4.04,0,0,41.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385.53,22.38,0,0,109.3,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,36.01,15.45,0,0,40.24,0,0,0,0,0,16.43,0,0,0,0,0,0,0,0,0,0,0,687.1,27.2,0,0,289.07,0,0,21.49,0,58.32,0,0,0,0,0,0,0
 14-21,0,0,1.65,16.74,13.98,13.63,0,0,0,3.94,0.82,0,1.15,0,0,0,0,0,0,17.04,0,0,12.88,253.2,5.91,0,1.38,16.46,0,2.68,0,25.31,0,19.56,82.7,0,0,2.42,0,0
 24-34,0,0,0,15.05,0,43.51,0,1.11,0.63,11.04,0,0,0,0,0,0,0,3.48,0,61.01,0,0,24.54,472.09,2.81,3.81,4.54,0,0,3.35,0,0,1.53,1.25,81.57,0,0,4.77,0,6.61
 36-46,0,0,0,4.46,0.81,96.94,0,8.56,0,15.13,0,0,0,0,0.57,0,1.65,0.66,0.63,39.3,0,1.35,9.64,240.53,1.72,0.73,0.61,0,0,1.32,0,0,0,0,63.42,0,0,7.89,0,8.21
 48-58,0,0,0,8.94,0,188.54,0,2.8,4.29,23.23,0,0,2.42,6.74,3.51,8.63,0,1.77,7.45,89.25,0.55,5,16.54,310.31,1.3,2.54,3.11,3.66,0,1.4,0,0,0,0,53.63,0,0,7.38,0,5.94
 60-70,0,0,0,21.69,0,356.92,0.84,8.68,6.21,33.76,0,0,0,0,0,8.58,0,0,1.05,129.87,2.07,0,11.17,223.64,0.79,1.03,0,0,0,0,0,0,0,0,19.62,0,1.31,2.81,0,4.37
 72-82,0,0,0,10.32,1.07,213.98,0.9,8.79,1.27,17.16,0.53,0,0.6,0,0,1.24,0.68,0,3.77,75.41,0,3.42,12.08,144.62,0,1.45,1.33,0,2.35,1.53,0,0,0.73,0,3.82,0,2.56,3.84,2.49,8.08
 84-94,0,0,0,3.62,0,133.01,0,4.26,1.03,8.32,1.31,0,1,1.62,1.08,1.5,0.67,0,0,51.55,0,0.66,10.26,57.07,0.62,0.64,2.09,0,0,2.95,0,0,0,0,15.36,1.01,1.08,4.32,0,3.72
 96-106,0,0,0,20.19,1.72,151.78,0,4.15,1.59,20.63,0,0,4.39,1.33,1.68,0,0.92,1.99,1.36,70.13,0,1.87,11.31,126.54,2.36,0,2.62,0,2.27,4.53,0,0,0,0,0.58,0,2.03,10.14,0,10.57
108-118,0,0,0,5.26,0,95.85,0,5.54,5.47,25.43,0.86,0,0,3.32,0,4.27,0,0,0,76.77,0,1.48,8.22,100.16,0,2.98,1.6,0,4.1,0,0,0,0,0,11.75,0,2.05,8.93,3.36,0
120,0,0,0,9.3,1.6,111.13,0,7.89,5.31,63.59,0,0,0,4.15,0,0,0,0,0,52.59,0,0,5.7,168.82,0,0,0,0,0,0,0,0,0,0,0,0,0,5.04,0,4.77
