stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,lateral.line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature
 14-21,0,0,2.43,0,0.81,0,0,2.78,0,0,0,0,0,8.1,0,0,0,0,1.39,3.18,0,0.9,7.9,0,0
 24-34,0,0.69,0,0,3.45,0,0,5.55,0,0.93,1.87,0,2.18,22.78,0,4.06,0.77,7.31,0,2.08,0,0,24.16,0,0
 36-46,0,2.29,0,0,1.01,0,0,6.05,0,0,0,0,0,24.08,0,2.33,0.57,1.61,0,0,0,0,3.87,0,1.98
 48-58,0,1.57,0,0,1.12,0,0,4.37,0,0,0.86,0,0,26.05,0,1.17,0,6.45,0,0,0,0,0.88,0,1.81
 60-70,0,0,0,0,0.9,0,0,3.51,0,0,0.67,0,0.6,3.37,0,2.13,0,0.94,0,0,0,0,0.74,0,0
 72-82,0,0,0,0,0.94,0,0,12.03,1.48,0,7.52,0,0.86,12.95,0,2.02,0,3.14,0,0,1.5,0,1.82,0,0
 84-94,0,0,0,0,7.6,0,0,9.19,0,0,4.43,2.13,0,34.82,0.93,0,1.89,10.22,0,0,0,0,2.86,0,0
 96-106,1.08,5.33,0,0,3.54,0,0.64,9.47,0.7,0.57,8.59,2.42,2.78,15.01,0,5.02,2.62,3.47,0,0.6,0,0,8.8,0.68,2.08
108-118,0.84,0,0,0.55,2.79,0.7,0,0.76,0,0,5.67,0,1.35,17.4,0,1.34,0.56,2.38,0,0,0,0,2.23,0,0.52
120,0,0,0,0,12.2,0,0,5.21,1.25,0,0,0,4.78,59.86,0,0,0,3.64,0,2.12,0,0,1.34,0,0
