stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.34,1582.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.68,0,0,0,0,0,0,0,0,0,0
  5-6,160.35,2204.81,0,0,0,0,0,0,0,0,0,0,16.25,0,0,0,0,0,0,0,0,0,0,0,225.2,26.89,0,0,6.69,0,34.59,0,0,0,0,0,0,0,0,0,0
  7-9,110.62,125.67,0,167.27,0,0,365.05,0,0,0,0,0,90.21,0,0,0,0,0,0,0,0,0,0,0,2795.3,66.63,0,0,1174.68,0,0,22.57,0,0,0,0,0,0,0,0,0
 10-12,0,64.85,0,231.56,0,23.06,222.54,0,0,0,0,0,54.56,0,0,0,0,0,0,0,0,0,0,0,2797.67,36.34,0,0,832.92,0,0,12.87,9.17,118.76,0,13,0,0,0,0,0
 14-21,0,2.21,0,10.98,81.91,24.61,58.69,0,0,0,6.73,4.16,0,1.07,0,3.33,0,0,0,0,54.67,0,0,50.3,864.96,4.59,1.31,8.02,14.64,0,4.9,0.9,102.17,4.63,0.91,56.94,216.45,0,1.69,0,0
 24-34,0,0,0.8,0,23.44,10.39,148.47,0,0.7,0,16.05,5.18,0,0,3.08,0.7,5.04,1.38,11.32,0.67,110.37,0.76,0,47.21,1508.85,6.93,6.85,5.66,0,0,20.01,0,0,0,0,9.41,318.26,0,25.51,0,2.08
 36-46,0,0,0,0,6.45,2.35,267.33,0,0,0.63,29.27,1.3,0,0,4.79,0,11.51,1.13,9.46,0,95.8,0,0,24.15,884.3,1.98,4.9,3.47,0,0,2.82,0,1.39,2.66,0,0,181.76,0,4.05,0,0.81
 48-58,0,0,0,0,10.57,4.74,339.49,0,4.37,0,16.82,1.54,0,3.87,0.54,0,0.41,0,2.62,6.81,88.35,0,6.02,22.05,365.32,0.79,3.34,1.85,0,0,8.49,0,0,0,0,0,62,0,8.43,0,0.85
 60-70,0,0,0,0,20.08,0,183.98,0,0,0,43.66,0,0,1.7,0,0,0.58,0,0,0,51.95,0,2.32,10.76,138.62,2.91,0.75,0,0,0,0.86,0,0,0,0,0,13.1,0,4.17,0,0
 72-82,0,0,0,0,13.53,0.58,75.66,0.55,0,2.7,19.11,2.78,0,1.83,2.68,0,2.99,0,0,0,68.36,0.71,2.11,8.48,136.44,0.88,1.87,0.71,0,0,0.88,0,0,0,0,0,0.61,1.42,4.83,1.07,0
 84-94,0,0,0,0,9.63,6.88,76.73,0,0,0,13.99,1.8,0,0,3.21,0,0.8,0,2.07,0,44.12,0,3.58,11.45,81.61,1.93,1.37,3.42,0,2.02,2.79,0,0,0,0,0,11.57,2.36,4.47,0,0
 96-106,0,0,0,0,8.65,2.44,88.82,0,0,0,18.2,4.8,0,2.31,6.34,0,0,0,4.59,0,39.03,0,5.26,6.66,92.85,0.81,0,7.65,0,1.61,7.49,0,0,0.71,0,0,0.58,0,0,0,0
108-118,0,0,0,0,10.89,7.24,75.2,0,0,0.62,15.73,2.43,0,0,3.7,0,1.36,0,5.71,0,48.5,0,3.79,9.72,143.59,0.81,1.35,0,0,0,3.19,0,0,1.07,0,0,9.93,0,2.46,0,0
120,0,0,0,0,8,3.81,53.33,0,1.09,0,45.38,0,0,0,14.13,1.36,0,0,0,0,28.11,3.54,3.49,2.73,159.67,1.1,0,0,0,0,2.87,0,0,0,0,0,0,0,8.69,0,0
