stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,8.19,8.47,185.16,37.56,48.53,0,0,0,13.4,6.54,10.01,2.41,0,3.04,0,0.92,0,1.87,64.89,1.68,0,45.33,425.83,36.35,6.66,3.02,6.59,39.8,73.03,4.39,3.84,59.33,88.04,0,3.76,0,3.62
 24-34,0,0,11.32,6.85,64.52,0,1.6,0,5.43,0,0,1.13,15.25,0,0,0,0,0,27.91,0,0,11.24,472.26,0.65,0,3.86,0,14.55,0,0,6.89,4.77,94.79,0,3.92,0,0
 36-46,0,0,19.91,7.9,171.1,0,0,2,19.85,0,0,0,32.36,2.43,0,0,0,0,33.65,0,0.7,1.05,513.37,1.75,1.41,0.8,0,3.94,0,0,0,0,73.18,0,8.54,0,2.29
 48-58,0,0,11.13,10.14,189.11,0,1.1,0.4,8.57,0,0,0,0,5.05,2.03,0.42,0,0,48.41,4.59,3.82,18.14,297.38,0,0,5.77,0,2.71,0,0,0,0,27.91,0,6.95,0,0
 60-70,0,0,17.9,0.74,208.13,0,0,0,8.65,3.62,0,0,0,0,0,0,1.82,0,74.61,3.37,8.24,2.78,223.27,0.82,0,3.57,0,2.91,0,0,0,0,6.29,0,9.84,0,0
 72-82,0,0,1.46,5.68,71.45,0,0,0,5.64,0,0,0,0,0,0,0,0,0,12.2,0,0,1.63,58.23,0,0,0,0,0,0,0,0,0,0,0,0.73,0,0
 84-94,0,0,1.14,4.96,35.67,0,1.75,0,6.03,5.17,0,0,0,1.84,0,0,0.68,0,16.95,0,3.82,2.92,28.57,0,0,0.64,0,0,0,0,0,0,0,0,0.85,0.89,0
 96-106,0,0,3.74,7.26,17.95,0.71,0,0,5.92,3.06,0,0.62,0.56,0,0,0.97,0,0,9.83,0,0,3.68,11.01,0,0,0.78,0,0,0,0,0,0,1.1,0.56,0.82,0,0
108-118,0,0,1.28,2.49,33.23,0.58,0,0,16.56,0,0,0,1.23,1.24,0,0.6,9.45,0,2.51,0,0,0.66,61.33,0.43,0,0,0,0,0,0,0,0,0,0,3.37,0,0
120,0,0,5.7,7.1,58.86,0,0,0,18.54,1.19,0,0,7.81,0,0,0,3.49,0,13.33,0,0,1.5,55.73,0,1.45,3.28,0,0,0,0,0,0,0,0,1.46,0,0
