stage,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
 14-21,20.25,278.73,38.63,58.33,0,0,0,16.88,13.48,4.99,9.11,0,1.97,0,0.92,18.13,0.85,103.78,0,87.8,897.4,92.92,0.96,11.65,27.57,53.92,22.25,235.56,20.18,57.47,217.88,290.31,0,9.47,1.03
 24-34,3.78,9.77,0.91,27.7,0,0.6,0,3.52,0,0,1.17,0,1.96,0,1.36,1.88,0,30.1,0.81,13.78,138.27,2.3,3.92,0.69,0,28.51,3.41,0,1.65,1.73,12.21,23.22,0,4.69,0
 36-46,0,1.2,0.67,7.9,7.95,0,0,0,0,0,3.71,0,0,1.27,0,0,0,12.72,0.86,8.22,36.82,0,0,0.7,0,29.86,0,0,0.63,1.13,0,4.97,0,3.16,0
 48-58,0,0.55,0,5.7,0.39,0,0,0,0,0,0,0,0,0.4,0,0,0.64,8.35,0,1.38,24.19,0,0,0,0,8.18,0,0,0,0,0,0.77,0.37,0.43,0
 60-70,0,1.42,0,12.35,2.26,0,0.85,0,0,0,0,0,0,0,0,0,0,3.41,0,0.6,5.14,0,0,0,0,1.45,0,0,0,3.41,0,0,0,0,0
 72-82,0,0,0,0.5,2.57,0,0,0,0,0,0,3.97,0,0,0,0,0,2.77,0,1.4,9.34,0,0,0,0,0.51,0,0,0,0,0,0,0,0,0
 84-94,0,7.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75,0,0,3.81,0,0,0,0,3.97,0,0,0,1.2,0,0,0,0,0
 96-106,0,0,0,0,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63,0,0,0,0,1.44,0,0,0,0.58,0,0,0,0,0
108-118,0,0,0,2.19,1.11,0,0,3.73,0,0,2.89,0,0,0,0,0,0,0.66,0,0.49,10.24,0,0,0,0,0.6,0,0,0,1.21,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.16,0,0,0,0,0,1.53,0,0,0,0,0,0,1.61,0
