stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
 14-21,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87,5.13,0,0.82,0,0,0,2.03,0,0,0
 24-34,0,0,1.5,0,0,0,0,0,0,0,0,1.05,0,0,0.63,6.96,0,0,0,0,0,2.79,1.9,0,0
 36-46,0,0,4.41,0,0,0,0,0,0,0,0,4.56,0,0,1.66,0,0,0,0,0,0,2.45,11.75,0,0
 48-58,0,0,1.14,0,0,0,0.67,0,0,0,0,7.18,0,0,0,0.51,0,0,0,0.67,0,0.52,6.16,0,0
 60-70,0,0,110.08,0,0,0,1.08,0,0,0,0,9.03,0,0.66,0,8.9,0,0,0,0,0,0,0.6,0,0
 72-82,1.5,0,400.98,0,0,0,3.13,0,0,0,0,13.93,0,0,0,8.4,0.91,0.51,0,0,0,0,5.51,0,0
 84-94,0,1.4,423.81,0,0,0.85,2.77,0.97,0.71,0,0,20.22,0,0,0,10.55,0,0,0,0,0,2.68,7.65,0,1.49
 96-106,0,1.83,527.7,0,0.59,0,1.89,0,0,0,2.44,11.88,1.8,0,0,33.48,0,0,0,0,0.68,0,9.1,1.57,3.59
108-118,0.89,0,488.82,0.42,0.6,0,3.74,0.74,0,1.24,0,11.09,0,1.62,3.01,21.69,1.45,0,0,0,0,0,15.31,0,6.09
120,0,1.14,317.51,0,0,4.44,1.61,0,0,0,0,8.8,0,0,3.5,18.89,0,0,0,0,0,0,8.34,0,15.21
