stage,blastomeres,epidermis,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,immune,ionocyte,lateral.line,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,38.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,35.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11,0,0,0,0,0,0,0
  7-9,0,0,0,4.45,0,0,0,0,0,0,0,0,0,0,62.58,0,0,3.48,0,0,0,0,0,0,0
 10-12,0,0,0,9.67,0,0,0,0,0,0,0,0,0,0,23.27,0,0,3.53,0,0,7,0,0,0,0
 14-21,0,3.79,0,0,0,0,0,0,0,0,0,3.14,0,0,18.02,0,0,0,0,1.07,0,1.89,4.79,0,0
 24-34,0,0.78,0,0,0,0,0,0,0,0,0,1.03,0,1.39,9.46,0,1.38,0,0,0,0,0,1.61,0,0
 36-46,0,0,0,2.63,0,0.64,0.99,0,0,0,0,2.2,0,0,16.71,0,0,0,1.18,0,0,0,18.06,0,0
 48-58,0,0,0,2.79,0,0,2.17,0,0,0,0,10.94,0,0,19.77,0,0,0,0,0,0,0,7.04,1.08,0
 60-70,0,0,0,1.62,1,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.98,0,0,2.18,0,0,0,0,6.31,0,0,4.29,0,0,0,0.99,0,0,0,7.22,0,0
 84-94,0,1.35,0,2.58,0,0,2.51,0,0,1.39,0,0,0,0,22.24,0,0,0,1.55,0,0,0,0,7.11,0
 96-106,0,0,0,6.06,0,0,0,0,0.63,0,1.15,3.56,0,0.81,14.52,0,0,0,0.6,0,0,0,0,0,0
108-118,0,1.18,0.97,0.86,0,0.48,0.75,1,0,1.71,0,8.71,3.67,0,18.69,0,0,0,0,0,0,0,0,5.36,0.55
120,0,0,0,0,0,0,0,0,0,0,0,4.96,0,0,20,5.14,0,0,0,0,0,0,0,0,0
