stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,530.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.38,0,0,0,0,0,0,0,0,0,0
  5-6,6.98,358.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0,0,0,0,0,0,0,0,0,0
  7-9,4.21,0,0,3.37,0,0,7.04,0,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,110.18,16.57,0,0,147.91,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,36.44,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.52,20.34,0,0,250.82,0,0,0,0,23.78,0,0,0,0,0,0,0
 14-21,0,0,0,0,6.07,6.02,1.77,0,0,1.83,0,0,0.89,0,0.9,0,0,0,0,6.14,0.95,0,32.43,18.95,1.76,0,1.14,2.23,0,0,0,54.59,0,8.61,88.35,8.73,0,0,2.18,0
 24-34,0,0,0,3.03,9.85,4.71,4.77,1.04,0,1.87,0.67,0,0,0,7.31,0,0.86,0,0,7.27,0.67,0,8.52,51.93,1.37,0,0.62,0,0,6.76,0,0,3.22,0,9.05,15.94,0,0,3.94,0
 36-46,0,0,0,0,7.4,0,7.71,0.8,0,1.58,0,0,0,0,0.68,0,0,1.29,0,17.57,4.1,0,5.72,28.06,0,1.32,0,0,0,9.63,0,0,0,0,0,4.24,0,0.85,3.42,0
 48-58,0,0,0,0,12.86,2,1.77,2.08,0,5.23,0.5,0,0,0,0,1.22,0,0,0.71,10.7,5.6,0.42,11.49,9.28,0,0,0.46,0,0,18.39,0,0,0,0,0,10.45,0,0,0.51,0
 60-70,0,0,0,0,7.39,5,10.37,14.89,0,8.57,0,0,0,0,1.78,0,0,0,0,13.01,18.22,0,2.66,19.71,0,0,1.16,0,1.22,5.84,0,0,0,0,0,1.27,2.84,0,3.47,0
 72-82,0,0,0,0,3.07,1.07,10.91,0,0.69,15.99,0,0,0,0.52,0,0,0,0,0,41.51,15.97,0,4.19,14.98,0,0,1.04,0,0,0,0,0,0,0,0,5.47,0,0.97,0,0.67
 84-94,0,0,0,0,4.19,0.86,8.87,0,1.93,5.22,1.98,0,0,0,0,0,1.32,0,3.85,30.02,15.34,0,0.77,10.44,0,0,1.91,0,0,2.07,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0.9,0,6.28,0,0,1.45,0,2.76,4.34,0,0,2.25,1.73,0,0,0,0,37.83,9.37,0,2.73,10.15,0,0,2.47,0,0,1.62,1.35,0,0,0,0,1.9,1.57,1.83,4.91,1.88
108-118,0,0,0,0,16.82,0,11.54,0.47,0,0.97,3.05,0,2.59,0.81,0,0,1.07,3.26,0,42.36,25.62,0,3.15,18.9,1.7,0.51,1.89,0,2.06,3.65,0,0,0,0,0,0.42,0.43,0.77,7.05,0
120,0,0,0,0,26.04,4.16,0,3.51,0,19.32,0,0,0,0,5.64,12.97,0,0,0,18.17,1.12,0,5.75,16.63,0,0,0,0,0,9.27,0,0,0,0,0,0,1.89,3.38,1.67,0
