stage,blastomeres,erythrocytes,eye,glial,iridophores,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord
  3-4,18.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.23
 24-34,0,0,0,0,0,0,0.65,0,0,6.88,0,0,0,0,1.58
 36-46,0,0,0,2.11,0,0,11.45,0,1.94,11.69,0,0,0,0,3.66
 48-58,0,0,3.02,0,0,0,10.95,0,0.67,20.08,0.58,0,0,0,3.79
 60-70,0,0.68,0.92,0,2.34,0,1.66,0,0,9.18,0,0,0,3.41,1.89
 72-82,0,0,22.3,0,5.83,1.95,1.97,0,0,60.1,0,0,0,0,11.21
 84-94,0,0,26.38,0,0.65,0,4.03,0,0,27.72,0,0,0,0,6.05
 96-106,0,0,0,0,0,0,2.84,0,3.24,19.32,0,0.79,0,0.72,0
108-118,0,0,4.41,2.8,7.11,0,0.43,5.22,0.62,27.75,1.84,0,13.11,7.1,0
120,0,0,0,6.98,0,0,0,2.03,0,99.53,1.09,0,0,0,0
