stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,3.54,0,0,0,0,0,0,0,0,0,0,0,8.72,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
 14-21,4.17,0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.94,0,0,0,0,0,0,0,0,74.62,0,0,0,0,0
 24-34,3.56,0,2.99,0.78,7.23,0,0,0,2.08,0,0,0,0,0,0,0,0,0,6.41,0,0,0.78,792.07,0,17.13,0,0,0,0.72,0.83,6.66,321.73,0,0,0.82,0,0
 36-46,0,0,0,0.68,15.47,0,0,0,5.17,0,0,0,0,0,0,0,0,0,1.03,0,0,13.37,1972.3,0,11.86,0,0,0,11.23,0,0,502.57,0,0,0.69,0,0
 48-58,0,0,7.85,1.86,221.38,0.6,10.12,0.97,55.25,0,0,0.88,0,0,0,0,0,6.17,21.24,0,5.12,6.62,3628.22,3.5,12.31,0,0,0.56,7.06,0,0.4,605.02,0,0,3.98,0,3.03
 60-70,1.1,0,9.55,2.56,1027.82,0,1.77,0,47.22,5.3,0,0,6.39,0,0,1.16,0,0,45.57,0.73,0,0,5205.76,0,9.04,9.03,0,0,12.7,1.08,0,739.48,0,0,1,0,16.33
 72-82,1.37,0,19.25,0.71,1383.54,1.52,0,0.51,65.67,1.35,0,1.08,4.17,0,1.71,0.68,6.97,0,41.06,0,1.14,2.23,5523.24,0,18.75,5.68,0,7.78,4.93,0.64,0,525.64,1.21,0.63,4.2,0,14.13
 84-94,0,0,28.29,3.29,966.74,2.56,0,1.99,77.59,1.6,0,0,2.27,0,9.6,1.43,0,0,53.82,0,0,0,3649.09,0,5.77,14.03,0,0,10.85,0,0,376.62,1.14,3.59,6.09,3.28,2.64
 96-106,0,0,14.98,27.71,1153.19,0,0,0,72.77,9.92,0,1.33,9.14,1.23,0,0,20.46,0.56,47.16,0,0,0,3499.44,6.5,17.41,1.75,0,4.42,11.01,0,0,161.66,0,0,2.95,0,2.63
108-118,1.4,0.44,18.14,5,926.22,2.88,0,1.13,83.05,4.6,0,1.35,1.5,0.86,0,0,8.8,0,38.56,1.09,4.32,1.5,3600.84,0,26.05,1.28,0,0,4.02,1.22,0,148.04,0.71,1.42,5.29,1.03,0
120,11.97,0,39.49,0,963.56,0,2.41,3.99,92.3,1.2,0,0,4.1,3.52,0,0,26.88,1.51,70.61,0,0,5.8,5560.92,4.12,17.1,0,0,0,0,0,0,224.99,0,0,24.99,0,6.16
