stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,gut,ionocyte,lateral.line,mesenchyme,mucous,neural,olfactory,otic,paraxial.mesoderm,periderm,taste
  3-4,0,60.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.77,42.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,4.52,0,0,6.76,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.79,0,0
 24-34,0,0,0,0,0,0,0,1.85,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,0,0,0
 48-58,0,0,0.88,0,0,1.13,0,1.5,0,0,0,0,0,0,0,0,0
 60-70,0,0,3.88,0,0,2.17,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,27.72,0,3.67,0,0,3.87,0,2.12,0,1.19,0,0.81,0,0,0
 84-94,0,0,45.46,0,0,0.9,0,4.04,0,0,2.33,0,0,2.2,0,3.87,5.44
 96-106,0,0,86.62,4.86,0,0,2.16,6.2,0,0,0.98,1.89,1.55,0,0,0.83,0
108-118,0,0,168.46,0,0.6,3.18,11.57,25.19,2.77,2.44,2.41,3.12,0,0,0,0,2.42
120,0,0,148.37,0,18.28,5.4,3.58,1.07,1.84,0,3.38,0,2.88,0,0,0,0
