stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  5-6,7.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,15.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.06,0,0,0,13.12,0,0,0,0,0,0,0,0,0,0,0
 10-12,13.38,0,19.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.32,0,0,0,127.83,0,0,0,21.59,0,0,0,0,0,0,0
 14-21,8.65,2.48,0,14.51,1.38,0.96,0,0,0,117.34,0,0,0,0.89,0,0,0,0,10.19,0,0,0.94,194.6,3.44,22.69,18.59,7.47,0,0.91,8.61,124.07,0,2.64,441.83,0,0,0,0
 24-34,0,0.8,0,2.78,0,2.95,0,1.55,0.61,141.04,0,0,0,0,0,5.62,0,0,8.63,0,0,4.6,278.24,1.49,102.44,24.17,0,0,5.8,0,37.79,0,3.39,254.97,0,0,1.73,0
 36-46,0,0,0,4.98,0,24.24,0,0,0.78,188.39,0,0,0,0,0,8.54,0,0,3.69,0,0,5.17,433.34,0,150.11,11.97,0,0,0,0,25.96,0.6,0.56,286.48,0,0,0,0
 48-58,0,0.44,0,7.92,2.25,72.12,0,0,0,274.61,0,0.52,0,0,1.04,15.6,0,0,15.93,0,0,0,293.69,2.59,77.68,11.57,0,0,3.08,0,6.71,0,0,342.6,0,0,5.65,0
 60-70,0,0,0,0,0,47.18,0,0,0.76,305.79,0,0,0,0,0,14.79,6.73,0,9.3,0,0.71,0.58,190.45,0,92.68,14.06,0,0.71,1.48,0,5.37,0,0,131.71,0,0,2.38,0
 72-82,0,1.81,0,2.44,3.01,32.52,0,0,1.51,212.31,6.22,0,0,0,1.18,27.52,0,0,30.67,8.82,0,1.42,85.55,0,116.21,28.61,0,0,0.79,0,3.43,0,0,61.68,0,2.23,0,0
 84-94,0,2.95,1.01,0.61,0.64,37.62,0,0,0,142.17,2.03,0,0.62,1.95,0,24.25,0,1.87,21.42,0,0,0,85.94,0,89.56,34.23,0,0,6.09,0,7.66,0,0,97.43,0,1.15,0,0.89
 96-106,0,0.99,0.69,4.46,1.3,24.4,0.87,0.82,0,88.18,2.25,0,0,0.89,0,28.26,0,0,8.69,0,0.87,0,61.5,0,156.85,23.88,0,0,1.88,0,3.07,0,0,29.28,0,2.39,5.32,1
108-118,0,2.35,0.51,1.01,2.76,21.91,0,0,0,55.76,4.89,0,1.19,0,1.03,19.5,0,0,15.64,0.61,6.87,1.08,97.59,0,102.72,28.04,0,0,0,0,3.08,0,0,19.86,0.67,0.66,0.65,0
120,0,0,0,0,11.34,18.13,0,0,1.66,102.82,0,0,0,1.63,0,30.51,3.16,0,25.58,0,0,0,45.77,2.7,26.98,22.85,0,0,1.27,0,26.81,0,0,9.26,0,0,0,0
