stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.83,0,0,0,17.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.83,5.62,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,16.1,0,0,0,0,0,12.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.8,0,0,0,56.69,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.53,0,31.73,0,0,0,0,0,0,0,0,1.04,0,0,2.66,0,5.79,0,0,0,3.71,69.83,0,0,2.42,0,3.28,0,4.43,0,0,4.28,0,0,16.54,0,1.25
 24-34,0,0,1.54,5.3,8.68,0,2.99,0,0.82,3.25,1.12,1.22,12.18,6.07,0,0,0,2.17,28.49,0.69,0,4.66,12.36,112.61,0,3.09,0,0,17.81,0,0,0,1.99,8.77,0,0,108.81,0,2.42
 36-46,0,0,0,18.56,0,0,2.71,0,6.29,32.13,4.83,0,0,4.24,0,0,0,0,40.04,0.95,0,23.39,40.69,59.61,0,13.66,0,0,26.4,0,0,0,0,18.51,0,0,56.52,0,25.81
 48-58,0,0,0,1.4,0,0,6.74,0,3.69,65.51,25.38,0,2.23,9.2,0,0,1.44,0,220.16,1.56,0,22.57,57.27,84.18,0,6.85,0,0.64,25.65,0,0,0,0,17.04,0,0,33.2,0,18.68
 60-70,0,0,0,3.34,10.02,0,29.4,0,4.78,101.54,54.66,0,15.41,19.52,0,0,1.72,0,908.73,4.07,0.69,13.75,110.3,36.52,0,11.26,0,1.03,10.65,0,0,0,0,6.61,0,0,31.65,0.73,6.98
 72-82,0,1.22,0,7.92,2.08,0,76.76,0.53,15.54,110.39,102.16,0.63,1.47,6.7,1,1.24,0,0,1169.29,13.35,2.18,26,117.88,14.81,0,6.95,0,0.87,8.99,0,0,0,0,28.9,0,0,64.11,0.93,31.86
 84-94,0,0,0,6.48,0,0,59.13,0,9.13,88.9,74.24,1.62,5.59,18.42,0,1.54,4.74,0.58,1014.09,4.98,2.04,13.41,75.08,22.16,0,7.68,0,1.01,37.43,1.4,0,0,0,6.08,0,0,25.38,0.96,0
 96-106,0,0,0,6.12,0.79,0,50.81,0,2.54,45.71,63.02,4.74,7.77,17.51,0,0,1.45,0.67,498.95,11.52,0.63,10.82,75.33,18.07,0,11.07,0,2.14,20.62,0,0,0,0,6.04,1.68,1.78,40,0,9.42
108-118,0,0,0,6.48,0,0,69.51,0,7.11,44.59,78.46,2.16,1.74,17.77,1.09,2.64,1.95,0,365.02,5,0,2.37,97.16,13.6,1.39,8.66,0,3.67,22.37,0,0,1.48,0,13.72,0.42,3.79,43.03,0.84,3.61
120,0,0,0,9.99,2.18,2.35,44.44,0,14.9,81.84,67.11,2.8,0,15.1,0,1.91,0,0,400.7,0,0,0,97.91,19.03,0,28.96,0,1.79,1.1,0,0,0,0,24.99,0,3.14,7.9,0,0
