stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,164.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,43.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,11.82,0,0,0,0,0,0,0,0,0,0,0,0,121.33,9.04,0,35.8,0,0,0,0,0,0,0
 10-12,7.88,24.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.65,0,0,45.08,0,0,12.49,0,0,0,0
 14-21,0,0,8.32,3.78,1.98,0,0,1.29,0,0,0,0,0,2.12,0,0,0.87,28.13,0.97,0.93,1.09,0,1.08,0,5.86,1.84,0,0
 24-34,0,0,1.51,0,2,0,0,2.71,0,0,0,0,0,4.64,0,0,2.79,21.56,0,0,0,0.85,0,0,0.84,0.98,0,2.04
 36-46,0,0,0.65,0,3.98,0,0.62,0,0,0,0,0,0.66,0.65,0,0,0,21.75,0,0,0,0.94,0,0,0,4.32,0,2.11
 48-58,0,0,0,0,3.15,0,0,0,0,0,0.83,0,0,2.29,0,0,0.51,16.64,0,0.74,0,0,0,0,0,4.35,0,0
 60-70,0,0,0,0,12.35,0.84,0.68,2.59,0,0.59,0,0,0,2.91,0,0,0,15.83,0,0,0,0,0,0,0,3.35,0,1.01
 72-82,0,0,0,0,10.78,0,0,3.91,0,0,0,0,0,2.72,0,0,0,9.66,0,0,0,0,0,0,0,7.47,0,1.51
 84-94,0,0,1.93,0,14.97,0,0,0,0,0,0,0.81,0,3,0.75,0,0,3.3,0,0,0,0.6,0,0,0,0,0,0
 96-106,0,0,0,1.29,4,0,0,11.27,0,0,0.71,0,0.69,6.33,0,0,0,5.94,0,0,0,0.75,0,0,0,0,1.2,0
108-118,0,0,0.59,0.48,5.02,0,0,0,0,0,0,0,0.61,1.59,0,0.45,1.58,20.51,0,0.56,0,0,0,0,0,0,0,1.93
120,0,0,1.48,0,14.76,0,0,0,1.67,0,3,0,0,1.91,0,0,0,25.83,0,0,0,2.57,0,0,0,0,0,0
