stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,259.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0,0,0,0,0,0,0
  5-6,36.99,299.67,0,0,0,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.9,5.83,0,3.38,0,0,0,28.16,0,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,198.86,0,0,0,60.07,0,0,12.75,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.79,0,0,0,40.71,0,0,0,0,0,9.63,0,0,0,0,0,11.2,0,0,0,0,0,236.94,0,0,0,71.53,0,0,12.13,0,0,0,0,0,0,0,0
 14-21,0,0,0,2.9,15.01,2.21,0,6.27,0,0,0,0.98,0,0,0,0,0,0,0,6.93,0,5.03,0,0,0.82,51.5,22.47,0,0.88,0,7.35,2.9,0,0,7.27,30.46,0,0,0.81,0,0
 24-34,0,0,0,0,19.73,0,0,8.2,0,0,0.74,2.97,1.33,0,0,0,0,0,0,7.01,6.12,15.74,0,0,2.77,218.54,2.39,0,0.67,0,22.73,0,2.31,0,2.72,74.24,0,0,0,0,3.64
 36-46,0,0,0,0,60.72,0,0,65.77,0,9.49,0,12.91,0,0,0,0,1.57,11.79,1.19,0,11.2,11.91,0,1.44,3.81,379.79,0,0.91,3.19,0,52.57,0,6.58,0,11.43,84.12,0,0,3.4,0,5.34
 48-58,0,0,0,0,50.08,0,0,109.93,8.43,5.29,0.94,50.82,0,0,0,3.41,2.29,3.23,2.09,6.58,1.58,23.29,0,0.49,9.27,491.69,2.77,1.7,2.71,0,51.25,0,0,1.13,0,48.05,0,0.51,6.67,0,2.05
 60-70,0,0,0,0,53.61,0,0,137.66,0,5.53,0,17.63,0,0,0,0,0.93,0,0,2.6,0,55.51,0,0,5.93,419.45,17.69,8.8,2.15,0,52.56,0,9.51,0,0,47.36,2.66,2.61,1,0,0
 72-82,0,0,1.15,0,11.08,0,0,147.97,0,0,11.29,28.05,5.82,0,0,0,0.55,0,0,1.07,0,30.56,0.62,0,5.12,333.28,0,0.75,2.31,0,6.75,0,0,0,0,45.63,1.18,0.75,4.98,0,0
 84-94,0,0,0,0,26.33,4.93,0,88.37,2.03,0.86,0,35.72,7.9,0,0.8,5.76,0,1.25,0,0,0,24.29,1.85,1.01,2.13,201.06,0,0.66,4.54,0,32.18,0,0,0,0,13.73,0,2.16,1.44,1.57,0
 96-106,0,0,0,0,3.55,2.29,0.59,82.55,2.38,2.5,0,29.07,5.54,0,0,2.97,0,0.85,0.71,5.58,1.26,38.75,0,0,2.01,122.82,0,0.66,1.57,0,17.61,0,0,1.26,0,2.4,0,0,0,1.22,0
108-118,0,0,0.97,0,18.43,1.1,1.7,63.3,0,1.96,2.61,52.84,19.82,0,1.03,1.43,0.55,0,0,0,0,27.08,0,1.34,10.27,164.18,0.67,0,3.43,0,13.91,0,1.79,0.88,0,1.46,2.05,0,6.09,0.55,2.76
120,0,0,0,0,24.8,0,3.69,67.05,0,3.08,3.06,24.9,40.09,0,0,3.2,2.78,1.59,4.94,0,0,73.9,1.05,1.45,8.3,373.97,5.26,0,1.4,0,12.74,0,0,0,0,0,5.81,9.27,1.67,0,0
