stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste,vasculature
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.57,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.16,3.89,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.75,0,0,0,0,0,0,0,0,0
 14-21,1.01,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,34.06,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.66,0,0,0,0,0,0,1.75,28.1,0,0,0,0,103.96,0,0,0,0
 36-46,2.48,0,0.79,0,3.57,0,0,0,0,2.65,0,0,0,0.77,0,8.4,0,0,0,0,178.81,2.02,1,0,0
 48-58,0.6,0,1.13,0,0,0.98,0,0,0,4.04,0,0,0,3.21,0,11.42,0,0,0,0,199.77,0.74,0,0,0
 60-70,15.35,0,0,0,8.02,0,0,0,0,2.21,0,0,0,2.43,3.03,6.2,0,0,0,0,299.15,9.51,2.86,0.84,0
 72-82,14.88,0,1.02,0,1.5,0.88,0,0,0,7.05,0,0,0,1.77,2.03,14.21,2.85,1.39,0,0,212.24,0,0,0,0
 84-94,30.48,0,18.03,0,8.44,1.31,0.58,0,0,17.6,0,0,0,1.92,4.88,5.89,0,0,0.63,0,715.07,0,0,2.5,0
 96-106,29.88,0,0.9,0,2.54,0.57,0,0,0.56,22.48,0,1.14,7.9,10.44,12.8,21.47,0,0.95,0,0,576.68,0,0,0.56,0
108-118,35.35,1.64,6.95,0,6.77,1.44,0.88,0,0.6,20.95,0.89,0,0,3.32,8.72,14.26,0,0,0,0,466.91,0.42,0,0.93,1.59
120,61.47,1.54,11.72,1.25,2.27,0,9.69,0,0,13.07,0,0,0,2.12,6.09,11.93,0,20.6,0,0,284.18,0,0,0,0
