stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,25.65,176.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.43,0,0,0,0,0,0,0
  5-6,0,257.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.46,0,0,0,0,116.34,0,0,0,0,0,0,0
  7-9,0,0,16.73,0,0,0,0,0,0,0,0,20.83,0,0,0,0,0,0,0,0,103.29,0,0,0,5.83,11.34,0,0,0,0,0,0,0
 10-12,0,0,8.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.48,0,0,0,7.19,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,23.23,0,0,0,0,0,0,0,0,0,0,0,0,0.88,3.72,0,0,2.36,0,3.06,0,0,0.88,0,0,0,0
 24-34,0,0,0,138.46,0,0,102.85,2.1,0,0,0.67,0,0,0,0,0,1.41,1.84,0,0,34.26,0.83,0.93,0,0,0.59,3.41,0,0,0.6,0,0,0
 36-46,0,0,0,368.2,0,0,129.57,5.72,0,1.75,0,0,0,0,1.46,0,0.77,3.16,0,0,25.91,0,5.1,0.69,0,14.83,0,0,0,1.15,0,0,1.4
 48-58,0,0,0,391.54,0,0,168.72,2.33,7.4,8.06,0,0,0,0,0,0,7.62,1.74,0,0,14.6,0,0,0,0,5.68,0,0,0,6.1,0,0,0
 60-70,0,0,0,277.96,0,0,144.28,12.36,0.84,9.97,0,0,0,0,0,0,9.12,5.02,0,0,7.76,0,0.73,1.01,0,0.66,0,0,0,3.41,1.02,0,0
 72-82,0,0,0,208.35,0.68,0,92,13.27,4.6,2.45,0,0,0,0,0,0,11.16,2.41,0,0,13.29,0,0,0,0,1.41,0,0,0,0,0,0,0
 84-94,0,0,0,399.36,0.57,0,128.09,10.58,12.88,0,1.09,0,0,0,0,0,2.12,1.46,3.37,1.99,1.5,0,0.63,0,0,2.66,0.93,0,0,0,0,0,0
 96-106,0,0,0,350.09,2.85,0,111.63,16.72,1.09,2.74,1.46,0,0,0.69,0,10.16,14.94,4.18,1.32,0,12.53,0,0,0,0,0,0,0,0,0,0,0,6.4
108-118,0,0,0,230.57,1.08,1.06,147.47,12.57,2.41,0,0.6,0,0,0,0,2.19,24.55,2.18,0,3.71,6.27,0,0,0,0,1.07,0,0.86,0,0.87,0,1.71,0
120,0,0,0,251.93,0,0,158.34,16.94,0,0,0,0,5.3,0,0,3.79,23.52,3.43,0,0,11.95,0,0,0,0,2.15,0,0,0,0,0,0,0
