stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,11.38,0,0,0,0,0,0,0,0,0,0
  5-6,10.66,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,43.43,6.68,0,0
 24-34,0,0,0,1.17,0,0,0,0,0,1.24,0
 36-46,0,0,0,0,0,0,0,6.7,0,0,0
 48-58,0,0,0,0.9,0,0,0,35.22,0,0.46,0
 60-70,0,0,0,5.07,0,0.57,1.37,22.42,0,3.75,0
 72-82,0,0,0,1.87,0,0,0.58,61.34,0,0,0.9
 84-94,0,0,0,1.41,3.13,0,0,27.34,0,0,0
 96-106,0,0,0,10.76,0,0,0,41.26,0,1.91,0
108-118,0,0,1.75,0,0,0,0,27.31,0,0,0
120,0,2.79,0,0,0,0,0,16.41,0,0,0
