stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.67,758.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,38.23,165.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.41,0,0,0,0,0,6.49,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77,9.45,0,0,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,4.69,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,0,4.21,6.88,0,0,6.68,0,0,11.92,0,0,0,7.77,0,0,0,0,0,0
 14-21,0,0,0,8.93,1.99,0,3.33,0,0,0,0,0,2.13,0,0,1.33,0,0,0,0,1.47,0,0,17.29,18.76,0,2.99,0,0,0,5.28,0,6.27,1,25.6,54.57,13.05,0,0,0.95,0,0
 24-34,0,0,0,2.73,0.69,0,6.33,3.74,0,0.74,1.77,0,0,0,0,1.68,0.97,0.82,0,1.75,0.6,0.93,0,11.37,80.2,0.98,43.16,0,0,0,19.43,0,0,5.12,5.06,21.65,41.23,0,0,13.78,0,1.74
 36-46,0,0,0.73,2.56,1.31,0,9.88,12.41,11.25,0,4.11,0,0,2.36,4.76,3.04,0,0.72,0,7.86,11.61,0,0,16.6,97.77,0.57,59.63,3.79,0,1.69,21.56,0,0,1.07,5.36,0.58,67.13,0,0,6.66,0,0.67
 48-58,0,0,0,10.52,0,0,24.64,28.45,0.62,1.38,8.01,1.26,0.48,0.63,1.39,8.85,2.33,3.08,0,1.22,8.31,0.69,0,11.25,119.3,0.58,32.9,0.82,0,0.97,22.93,0,0,0,16.62,0,44.56,0,0,2.59,0,11.35
 60-70,0,0,12.58,15.56,6.07,0,116.11,12.15,1.06,13.76,24.93,0,1.21,1.91,7.94,2.13,0.6,0.8,11,0,24.85,0,1.57,7.6,135.79,0,36.79,0.96,0,0,37.82,0,0,2.68,10.91,0,38.97,0,0.69,10.13,0.8,1.8
 72-82,0,0,3.3,14.74,3.35,0,193.92,14.69,1.99,7.46,27.9,1.12,0,0.64,10.19,5.77,2.01,1.92,1.68,1.94,46.81,1.89,1.71,7.18,174.54,5.12,64.07,6.8,0,0,38.23,0,0,0,4.04,0,17.72,5.86,1.21,13.2,2.43,0
 84-94,0,0,2.07,27.43,7.7,0,120.44,1.75,1.69,8.16,19.84,7.11,0,0,6.8,4.27,1.61,0,0,2.78,58.99,0,0,8.26,72.46,4,42.6,10.96,0,0,180.35,1.4,0,2.04,3.19,0,6.55,6.15,0.56,10.62,2.84,4.35
 96-106,0,0,1.42,39.5,10.19,0,146.01,13.96,3.07,1.04,26.55,11,0,0.75,14.71,4.47,2.88,0,2.36,9.19,58.99,1.09,7.45,8.66,145.36,0,72.28,7.39,1.2,2.54,153.63,2.06,0,1.27,4.28,0,8.75,20.9,3.94,19.66,8.19,0.68
108-118,0,0,4.75,56.91,6.99,11.89,159.93,7.13,11.54,3.23,46.02,9.92,0,2.46,13.84,6.63,2.33,3.23,1.27,1.09,73.37,1.65,3.39,10.49,153.24,2.26,48.89,5.75,0,4.04,201.98,0,0,1.82,6.47,0,9.29,15.74,3.27,19.28,2.35,10.9
120,0,0,1.37,44.82,6.52,0,98.5,18.59,20.94,0,2.76,11.98,0,0,40.49,13.92,7.38,3.78,12.67,0,156.56,1.46,0,28.25,217.36,14.28,22.34,4.19,0,0,187.26,0,0,1.13,2.58,0,8.75,10.99,0,49.23,0,1.16
