stage,blastomeres,eye,glial,melanocytes,mesenchyme,muscle,neural,otic,spinal.cord
  3-4,11.75,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,6.71,0,0
 24-34,0,0,0,0,0.71,0,3.2,0,1.02
 36-46,0,1.08,0,0,0,0,10.25,0,2.9
 48-58,0,6.58,1.75,0,0,0.43,16.61,0,8.78
 60-70,0,28.06,2.74,0,0,0,23.5,1.23,3.64
 72-82,0,18.56,2.16,0,0,0,30.2,0,0
 84-94,0,10.35,2.31,0,0,0,11.63,0,0
 96-106,0,22.43,0.98,1.15,0,0,9.65,0,0
108-118,0,14.44,3.61,0,0,0,14.97,0,0
120,0,2.48,0,0,2.03,0,0,0,0
