stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,immune,ionocyte,mesenchyme,mural.cell,neural,notochord,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,0,195.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.18,0,0,0
  5-6,0,76.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.26,0,0,0
  7-9,4.39,6.25,0,5.77,0,0,4.07,0,0,0,0,0,0,0,46.12,3.96,0,14.15,0,0,0,0
 10-12,0,0,0,8.21,0,0,0,0,0,0,0,0,0,0,57.78,0,0,22.22,0,8.66,0,0
 14-21,0,0,0,0,3.3,1.05,1.14,0,0,2.59,0,0,0.94,0,0.97,0,0,0.95,2.02,1.05,0.92,0
 24-34,0,0,0.8,0,0,0,0,0,0,0,2.42,0,1.31,0,10.18,0,0,0,5.05,0,1.98,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,15.1,0,0,0,2.2,0,4.97,0
 48-58,0,0,0,0,0,0.97,0.93,0,0.44,0,3.41,0,0,0,7.89,2.65,0,0,9.46,0,0,0
 60-70,0,0,0,0,1.08,0,0.71,0,0.58,0,0.83,0,0,0,2.03,0,1.15,0,3.67,0,0,0
 72-82,0,0,0.76,0,0,0.9,3.84,0,0,0,2.78,0,3.11,1.32,6.86,0,0,0,12.67,0,1.21,0.73
 84-94,0,0,1.88,0,0,1.8,0,0,0,1.77,2.46,0,0,0,10.05,0,0,0,38.19,0,0,1.19
 96-106,0,0,1.93,0,2.07,0,2.14,3.86,2.14,2.82,5.38,0,0,0,13.26,0,0,0,37.49,0,0,0
108-118,0,0,0.93,0,3.96,0.42,2.56,0,0,4.19,18.48,2.05,0,0,7.45,0.41,0,0,11.93,0,7.84,3.23
120,0,0,0,0,1.49,2.39,0,0,0,8.8,8.65,1.35,0,0,19.07,11.22,0,0,32.21,0,0,1.72
