stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.01,0,0,0,0,0,0,1.1,0,0.81,6.87,0,0,0,0
 24-34,0,0.9,0,0,2.67,0,0,0,0,0,0,0,0,0,3.74,0,0,0.92,0,0,0,0,189.74,0,12.68,1.71,0,0,5.51,0,4.79,0,30.74,0,0,0,0
 36-46,0,0,0.56,0,13.12,1.18,1.06,0,0,0,1.09,0.57,0,0,0,0,0,0,0,0,0,1.94,466.76,3.53,23.8,5.76,0,0,35.31,0,0,0,74.38,0,2.27,0,0
 48-58,0,0,3.16,1.19,51.75,0.41,0,0,21.68,0,0,0,0,4.37,0,0,0,0.74,18.85,0.71,0,0,875.03,0.51,11.39,0.46,0,0,9.5,0,0,0,83.63,0,0,0,3.32
 60-70,0,0,22.12,1.36,181.9,0,0,0,33.67,1.75,0,0,4.06,0,0,0,0,0,52.19,0,0,8.11,1144.54,6.58,8.34,0,0,1.53,10.63,0,3.18,0,120.51,0,0,0,0
 72-82,0,0,4.62,2.44,187.53,0.65,0,0.89,16.65,0,0,0,1.02,0,0,1.13,1.31,0,135.48,0,0,3.1,1363.5,5.34,37.74,0,0,0,6.38,0,0,0,111.75,0,6.86,0,0
 84-94,0,0,7.38,2.83,175.42,0,0,0,20.16,0,0,1.31,0,0,0,0,0,0,130.74,1.01,0,0,842.61,2.43,33.71,7.38,0,0,5.04,0,0,0,108.85,0.77,7.48,1.24,0
 96-106,0,0,6.34,14.42,180.26,0,0.63,0,26.71,1.42,0,0.82,0,0,0,0,7.37,0,115.51,0,0,0,940.07,0,42.96,2.3,0,0,0.57,0,0,0,30.29,0,2.32,0.8,0
108-118,0,0,22.28,2.44,241.45,0,0,0,19.27,0.43,0,0,1.07,0,0,0,0,0,123.28,0,0,0,1140.77,0,25.61,0.78,0,0,4.24,0,0,0,47.66,1.53,0,2.27,1.42
120,0,3.9,29.72,6.93,328.54,0,0,0,63.12,0,0,0,4.74,1.1,0,0,0,0,111.9,0,15.95,0,1913.89,0,35.27,2.92,0,0,0,0,2.39,0,53.96,0,0,0,0
