stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,71.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,23.81,49.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.07,12.43,0,0,10.51,0,31.71,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,9.88,0,0,0,0,0,0,0,0,0,0,0,0,290.15,3.12,0,0,27.94,0,28.69,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,79.43,0,0,0,0,0,0,0,8.56,0,0,0,0,1.25,17.02,20.27,0,0,0,0,0,70.35,0,0,26.44,79.45,2.08,0,0,0,0,0
 24-34,0,0,0,33.46,0,3.03,0,0,0,0,0,24.9,0,0,0,0,10.23,1.8,23.9,2.97,0,0,0,0,174.58,0,0,2.74,33.42,5.03,0,0,0,0,0
 36-46,0,0,0.61,36.52,0,6.4,27.62,2.9,0,0,0,36.83,0,0,0,0,2.38,0,30.83,1.93,0,0,0,0,216.7,0.81,0,0,0,9.77,0,0,0,0,0
 48-58,0,0,0,24.69,0.41,31.64,8.04,1.56,0,0,0,16.64,4.02,0,8.87,3.64,33.53,0.45,72.91,12.66,0,0,0,0,111.3,0,0,3.14,0,9.22,0,0,0,0,0
 60-70,0,0,0.57,56.48,0,193.2,32.65,1.33,0,0,0,19.88,49.12,0,2.41,3.9,26.21,0,56.94,4.35,0,0,0,0,93.05,0,0,0,0,2.08,0,0,0,0,0
 72-82,0,0,0,46.3,0.52,159.09,3.03,0,0,0,0,6.42,65.38,0,0,5.25,59.56,0.8,81.75,2.04,0,0,0,0,95.87,0,0,0,0,4.37,4.15,0,0,0,0
 84-94,0,0,0,84.39,0,126.31,23.01,1.7,0,0,0,18.23,24.05,0.78,4.43,5.57,32.39,0,21.29,1.52,1.04,0,0,0,204.22,0,0.74,0,0,6.18,0,0,0,0,0
 96-106,0,0,0,56.17,7.05,175.28,20.44,5.25,0.69,1.23,1.57,8.83,21.19,1.17,8.93,16.79,94.89,0,70.92,5.79,0.57,1.36,0,0,353.18,0,0,0,0,2.95,0,0,1.67,1.67,0
108-118,0,0,1.28,141.59,0,166.54,30.85,0,1.57,0,1.27,23.28,35.54,0,14.96,12.1,89.95,0,45.56,3.27,1.23,0,0,3.27,330.11,0,0,0,0,0.48,0,1.1,0,1.05,3.72
120,0,0,0,177.73,0,175.63,32.07,10.25,0,0,0,24.62,14.52,0,6.89,5.24,49.2,5.56,86.65,8.4,2.97,0,0,0,204.08,0,0,0,0,10.36,0,0,0,0,0
