stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,18.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,7.01,0,0,0,0,0,0,0,0,0,16.55,0,0,4.48,0,0,0,0,0,0,0,0
 10-12,0,0,6.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.96,0,0,21.09,0,0,0,0,0,0,0,0
 14-21,0,0,2.03,1.64,2.82,1.05,0,0,0,0,0,0,1.15,0,0,0,0,3.72,0,0,0.99,9.28,2.02,0.96,1.12,0,2.81,1.02,4.29,0,0,0,10.31
 24-34,0,0,0,1.46,0.81,0,0,1.53,0,0.65,0,0,0,0,0,0,0,2.74,0.69,0,2.41,30.8,0.72,10.97,0,1.86,0,1.79,5.98,0,0,2.6,0
 36-46,0,0,0,3.39,0,2.4,0,0,0.6,1.09,0,0,0.89,0,0,0,0,7.68,0,0,1.45,23.22,0,0.8,0,4.98,0,0,3.39,0,0,0,0
 48-58,0,0,0,0.5,0,4.48,0,7.42,0,1.94,0,0,0,2.48,0,0,0,4.16,0,0,0.82,22.19,1.34,0,0,4.58,0,0,2.95,0,0,0.96,0
 60-70,0,0,0,0,0,3.28,0,4.82,0,5.23,0,0,0,0,0.93,0,0.63,11.17,0,1.78,0,13.39,1.12,0.63,0,0.81,0,0,1.06,0,0,0,0
 72-82,0,0.78,0,0,0,4.85,0,0,0,0.86,1.2,0,0,3.88,0,0,0,8.84,0.93,0,1.23,8.38,0,0,0,0,0,0,0,0,0.66,1.17,0
 84-94,0,0,0,2.16,0.69,3.13,0,0,0,4.02,0,0,0,11.69,0.75,0,0,7.71,0,0,0,3.54,1.27,1.05,0,4.43,0,0,0,0,4.46,0.63,0
 96-106,0,0,0,0.77,1.76,0,0,0,0,1.35,0.67,0,0.73,3.66,0.87,0.79,0,4.16,1.66,0,0,8.1,0,0.71,0,3.49,0,0,0.67,1.04,0,0.66,0
108-118,0,0,0,1.98,0.72,0.45,0,0,0.79,4.2,0,0,0,1.91,0.45,0,0,3.42,0,0,0.56,12.8,0,0.71,0,2.62,0,0,0,0,0,0,0
120,0,0,0,2.38,0,0,1.21,0,0,7.95,0,0,0,1.72,0,0,0,19.55,0,0,0,20.35,0,0,0,2.89,0,0,0,0,0,0,0
