stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,0,0
 24-34,0,0,0,0,0,0,0.64,0,1.77,13.1,0,0,0,0,3.85,0,0
 36-46,0,2.4,0,0,0,0,0.74,0,0,8.59,0,0,0,5.76,0,0,0
 48-58,0,2.39,0,0.4,0.84,0,0,0,0,1.84,0,1.7,0,0,1.19,6.92,0
 60-70,1.19,3.32,11.21,0.72,0,0,0,0,0,12.1,1.12,0,0,0.83,1.39,0,0
 72-82,0,6.39,0,0,2.5,0.94,2.1,0,0.78,7.69,0,0,0,0,0,0,0
 84-94,0,0,0,0,5.99,0.64,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0.87,0,0,0,0,0.98,0,0,4.55,0,0,0,0,0,0,0
108-118,0,1.63,2.72,0,0,0,0,0,0,4.65,0,0,1.02,0.44,0,0,1.11
120,0,0,0,0,10.3,0,0,10.79,0,34.04,0,0,0,0,0,0,0
