stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,spinal.cord
  3-4,17.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.48,0,0,0,0,0,0,0,0,17.19,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.16,0,0,0,6.11,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,5.16,0,0,0,0,1.34,0,0.98
 24-34,0,0,1.04,0.8,0,0,0,0.68,11.43,1.13,0,13.37,1.02,0,0.89,0,0,0,2.11
 36-46,0,0.58,4.96,0,0,0,0,0.57,0,0.69,0,11.42,0,1.21,0,0,0,0,0.63
 48-58,0,0,1.72,0,0,3.44,0,0,0,1.85,0,11.84,0,0,0,0,0,0,0
 60-70,0,0,15.79,0,0,0,0,0,0,1.37,0.74,14.21,0,0,0,0,0,1.06,0
 72-82,0,0,14.31,0,0,0,0,0,0,4.67,0,16.73,0,0,0,0,0,0,6.7
 84-94,0,0,10.84,0,0,1,0,0,1.28,8.36,0,8.49,0,0,0,0,0,0.7,0
 96-106,0,0,17.12,0,0,0,0,0,0,12.26,0,6.85,0,0,0,0,0,0,0
108-118,0,0.84,1.69,0,0.79,0,1.41,0,0,6.94,1.33,3.63,0,0,0,0,0,0.43,0.94
120,0,0,2.48,0,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0
