stage,epidermis,eye,gut,immune,mesenchyme,muscle,neural,periderm,spinal.cord,taste,xanthophores
 10-12,0,0,0,0,0,0,8.81,0,0,0,0
 14-21,0,0,0,0,0,0,3.71,0,0.95,0,0
 24-34,0,0.7,0,0,0.86,0,4.17,0,0.82,0,0
 72-82,7.65,1.51,0,0.54,0,0,0,0,0,0,3.55
 84-94,1.33,0,0,0,0,1.53,0,0,0,0,0
 96-106,37.96,0,2.97,0,0,0,11.39,3.83,0,0,0
108-118,51.17,0,0.65,2.86,0,0,2.28,0,0,0.46,0
120,4.67,0,1.65,0,0,0,0,0,0,0,0
