stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.81,20.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,39.73,0,0,0,553.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,685.53,8.24,0,0,15.59,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,21.43,4.04,0,0,757.92,0,0,0,0,0,6.38,0,0,0,0,0,0,0,0,0,0,0,1856,0,0,0,77.34,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.4,1.72,25.71,0,1.61,0,7.47,0,0,2.18,0,0.8,6.7,0,1.59,0,10.8,0,0,64.63,1909.03,0,0,0,2.45,0,0,22.03,1.95,24.5,184.98,37.36,0,0,1.07,0,0
 24-34,0,0.83,0,7.18,0,43.1,0,0.71,3.01,52.92,0.66,0.67,5.07,0,0.92,0,0,0.96,1.71,177.29,0,0.91,239.04,4081.6,1.71,2.61,0.69,0,0,6.73,2.32,0.79,4.18,42.09,198.93,0,0,0.64,0,0
 36-46,0,0,0,4.41,0,30.16,6.75,0,9.13,209.23,0,0,0,0,0,0,0,0,6.95,282.19,0,0,210.41,3301.8,1.64,3.34,0,0,0,0.58,0,0,0,0,158.05,0,0,2.52,0,0
 48-58,0,0,0,7.83,0,94.96,3.06,0,15.51,400.84,0,0,1.42,0,0,0,0.41,0,0.39,310.33,0,0,145.27,2232.72,0,0,0,0,0,0.44,0,0,0.44,0,101.56,0,0,0,0,4.35
 60-70,0,0,0,1.28,0,79.39,1.33,0,9.46,371.32,0,0,0,1.6,0,0.6,0,0,0,210.98,0,0,61.07,1769.3,0,0,0,0,0,0,0,0,2.76,0,36.77,0,1.19,0,0,7.16
 72-82,0,0,0,5.58,1.42,165.43,0,0,14.72,475.05,0,0,0,0,0,1.62,0,3.06,0,299.37,0,0,100.11,1932.19,0,2.34,0,0,1.12,2.5,0,1.99,0,0,6.07,0,1.78,1.57,0,7.57
 84-94,0,0,0,15.01,1.89,152.02,1,0.56,11.97,327.44,0,0,0,0,0,0,0.61,2.03,0,248.13,0,3.56,40.75,960.29,0,0.67,0,0,0,5.12,0,0,0,0,29.46,0.9,1.69,0,0.63,6.87
 96-106,0,0,0,12.91,2.42,112.49,0,2.93,16.87,386.61,0,0,0,0,0,0,0,7.13,0,231.16,1.85,1.25,42.81,929.3,0,0.89,0,0,0,3.62,0,0,0.7,0,27.07,1.52,0,0,0.56,0
108-118,0,0,0,9.32,3.74,71.36,1.04,0,10.77,352.12,0,0,0.74,1.77,0,0,0,2.42,0,196.03,0,1.38,38.71,1614.07,0,0.86,1.74,0,4.3,0,0,0,0.49,0,14.86,0,0,4.69,1.19,3.32
120,2.39,0,0,29.04,17.97,69.17,0,0,20.86,409.26,0,0,0,0,0,0,0,0,0,204.1,2.21,11.12,13.64,1854,0,3,0,0,0,0,0,0,0,0,36.16,0,0,2.09,0,0
