stage,eye,mesenchyme,neural,paraxial.mesoderm,spinal.cord,vasculature,xanthophores
  7-9,0,0,0,9.09,0,0,0
 36-46,0,0,1.21,0,0,0,0
 48-58,0,0,4.78,0,0.5,0,0
 60-70,0,0,5.46,0,1.75,0,2.31
 72-82,5.74,0,0,0,0,0,0
 84-94,1.12,0.56,0,0,1.33,0,0
 96-106,0,2.62,0,0,0,2.91,0
108-118,0,0,1.96,0,0,0,0
120,0,0,7.65,0,0,0,0
