stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching.gland,heart,lateral.line,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,67.96,1748.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.85,0,0,0,0,0,0
  5-6,89.83,1804.18,0,0,0,0,0,0,14.25,0,0,0,0,0,83.3,0,6.56,17.12,0,0,0,0,0,0
  7-9,0,10.17,9.16,0,0,36.69,0,0,12.86,0,0,0,0,0,493.52,0,105,0,0,0,0,0,0,0
 10-12,0,10.26,5.03,0,0,10.04,0,0,0,0,0,0,0,0,166.25,0,83.62,0,0,18.67,0,0,0,0
 14-21,0,0,0,10.35,1.86,1.68,2.39,2.31,0,0,0,4.33,0,1.85,58.97,0.84,0.99,1.66,5.45,2.44,8.38,22.97,0,0
 24-34,0,0,2.57,0,0,4.61,0.7,0,0,0,0,7.43,0,0.81,52.51,0,0,0,0,0,0,7.72,1.64,0
 36-46,0,0,0,0,0,6.41,0,0,0,0,0,3.55,0,1.62,25.8,0,0,0,0,0,0,6.31,0.69,0
 48-58,0,0,0,1.06,0,10.94,5.85,0.69,0,0,0.4,4.44,0,0,24.23,5.12,0,0,0,0,0,14.25,1.51,0
 60-70,0,0,0,0,0,3.09,0.67,0,0,0,0,1.51,0,0,2.55,0,0,0,0,0,0,2.48,3.14,0
 72-82,0,0,0,0,0,2.47,1.92,0,0,0,0,1.88,0.72,0,11.1,0,0,0,0,0,0,3.37,0,6.75
 84-94,0,0,0,0,0,2.41,0,0,0,0,0,2.67,0,0,4.07,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,0,0,1.3,0,0,0.68,0,2.8,0,0.57,5.06,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,1.09,1.11,0,0,0,0,2.48,0,0,3.47,0,0,0,0,0,0,0,1.99,0
120,0,0,0,1.97,0,1.24,0,0,0,0,0,2.77,1.26,0,0,0,0,0,0,0,0,0,0,0
