stage,epidermis,erythrocytes,eye,glial,immune,iridophores,melanocytes,muscle,neural,otic,spinal.cord,taste,vasculature,visceral.smooth.muscle
 10-12,0,0,0,0,0,0,0,0,8,0,0,0,0,0
 14-21,0.88,2.36,0,0,19.12,0,0,1.28,2.21,0,0.9,0,0,0
 24-34,0.62,1.93,0,0,42.41,0,0,0,7.73,1.09,0,0,3.12,0
 36-46,0,0,2.48,0,106.31,0,0,0,7,0,1.86,0,4.19,0
 48-58,0,0,0,0,71.59,0,0,0,0.69,0,0.66,0,0.42,0
 60-70,0,0,0.97,0,114.9,0,0,0,0.74,0,0,0,0,0
 72-82,0,0,5.17,0,121.74,0,0,0,1.9,1.29,0.64,0,1.54,0
 84-94,0,0,0.58,0,224.81,0.74,0,0,2.87,0.67,0,0,1.29,0
 96-106,2.45,3.55,0.71,0,274.37,0,0,0,7.37,1.63,0,2.03,0.92,1.84
108-118,6.55,0,0.68,0,312.51,4.46,0.44,0,2.19,1.98,0,0,3.75,0
120,1.56,0,0,1.91,291.16,0,0,0,5.58,0,0,0,1.23,0
