stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,51.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.94,0,0,0,0,0,0,0,0
  5-6,0,73.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.86,0,0,0,0,18.27,0,0,0,0,0,0,0,0
  7-9,0,5.83,3.56,0,0,9.08,0,0,0,0,0,0,0,0,0,0,0,0,45.91,0,0,0,17.66,0,0,0,0,0,0,0,0,0
 10-12,0,4.57,13.04,0,0,7.57,0,0,0,0,6.69,0,0,0,0,0,0,0,137.98,5.93,0,0,23.18,4.05,0,0,17.91,0,0,0,0,0
 14-21,0,0,0,15.04,2.77,9.9,0,0,0.97,0,0,0,0,0,0,3.51,0,1.58,65.27,0,0,0,0.83,0.86,0.9,3.98,0.96,2.14,11.5,0,0,0
 24-34,0,0,0,2.49,0.62,20,0,0,4.02,0,0,0,0.71,0,0,6.75,0,3.25,100.31,0,0.89,0.69,0,1.37,0,0,0,0,11.86,0,0,1.55
 36-46,0,0,0,6.4,0,13.75,0,0,0,0,0,0,0,0,0,2.7,1.94,1.39,47.84,0,0.61,0,0,7.7,0,0,0,0,6.09,0.96,0,16.12
 48-58,0,0,1.75,0,0,35.87,7.55,0,2.43,0.58,0,0,0.45,0.41,1.08,2.21,0,1.23,26.36,0,1.7,0,0,0,0,0,0,0,2.04,0,0,0
 60-70,0,0,0,0.65,0,15.63,0,0,2.45,3.43,0,0.66,4.2,0,1.35,5.63,0,0.67,22.75,0,1.42,0,0,1.81,0,0,3.99,0,0,1.57,0,0
 72-82,0,0,0,0,0,4.6,0,0,4.88,0.71,0,0,0,0,0,6.46,0,1.34,12.56,0,0,0,0,0,0,0,0,0,3.03,1.61,0,0
 84-94,0,0,0,0,0,14.84,0,0.6,2.09,0.57,0,0,0.78,0,1.49,5.37,1.13,1.76,26.64,0,0,2.91,0,0,0,0,0.56,0,0,0,0,0
 96-106,0,0,0,3.43,0,4.92,0,0.72,2.47,0.79,0,0,0,2.82,0,9.39,0.59,0,8.67,0,0,0,0,0,0,0,1.44,0,0,0,1.22,0
108-118,0,0,0,1.37,0.75,7.18,0,0.6,1.71,0,0,0,0,0,2.66,1.44,0,1.74,13.71,0,0,1.27,0,0,0,0,0,0,0,0.58,0,0
120,0,0,0,0,0,0,0,0,9.77,2.56,0,0,0,0,0,0,0,1.23,31.73,0,0,0,0,0,0,0,0,0,0,0,1.99,0
