stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,29.79,150.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.01,0,0,0,0,0,0,0
  5-6,7.99,163.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,0,0,0,0,0,0,0
  7-9,0,4.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.15,0,0,0,10.5,0,0,3.47,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.24,1.1,0,0,0,0,0,0,0,0,0,2.46,0,0,7.26,0,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,5.56
 24-34,0,0,0,0,2.4,0,2.67,0,0,0,0,0,0,28.67,0,0,9.37,10.76,0,12.39,0,0,0,0,0,0.79,0,0,0.61,0,0,0,5.41
 36-46,0,0,0,0,3.64,0,0.57,0,0,0,0,0,0,63.96,0.56,0,0.63,20.38,6.18,40.58,0,0,0,0,0,0,0,0,1.04,0,0,0,0.96
 48-58,0,0,0,0,0,0,11.57,0,2.06,0,0,0.82,0,121.11,0,0,0,52.58,7.01,15.94,0,0,0,0,0,0,0,0,5.13,0,0,0,0
 60-70,0,0,0,0,2.2,0,17.94,0,0,6.35,0,0,0,152.99,0.77,0,0,67.71,5.33,38.19,0,0,0,0,0,0.68,0,3.48,1.69,0,0,0,0
 72-82,0,0,0,0,1.98,0,47.09,0,0,1.59,0,0,0,83.95,0,0,0,77.21,10,49.84,0,0,0.61,0,1.61,0.94,0,0.73,0,0,1.21,1.17,0
 84-94,0,0,0,0,1.99,0,30.87,0.68,2.7,0,0.57,1.92,0,224.87,0,0,0,49.8,3.69,40.42,0,0,2.03,0,0,0,0,0,8.25,1.01,0,0,0
 96-106,0,0,0,0,1.27,4.73,32.98,0,4.26,7.12,1.73,0,0,223.63,0,2.1,0,78.31,5.39,55.59,0.73,0,2.37,0,0,1.61,0,0.82,0,0,0,0,0
108-118,0,0,0,0,0,0,30.2,0,3.32,2.32,0,0,0.75,453.84,0,0.52,0,96.35,1.94,29.41,0,1.82,0,0,0,1.12,0,0,0.96,0,0,0,3.31
120,0,0,0,0,12.09,0,64.39,0,0,7.02,0,0,0,234.94,0,0,0,114.12,0,37.38,0,0,0,0,0,1.01,0,0,0,0,0,0,0
