stage,axial,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,immune,melanocytes,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,12.35,115.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.19,114.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87,0,15.77,0,0,0,0,0,0,0
 10-12,0,5.93,0,0,0,0,0,0,0,0,0,0,0,91.86,0,12.45,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,84.34,0,0,1.73,0,0,0,0,130.93,0,0,0,0.9,0,2.99,6.46,0,0
 24-34,0,0,0.76,2.93,0,462.19,0,0,0,0,0,0,0,17.94,0,0,5.61,0,0,0,0.77,2.37,0
 36-46,0,0,0,0,0,552.25,0.58,2.04,0,1.3,0,1.67,0.71,20.73,0,0,0.75,0,0.59,0,3.47,0,0
 48-58,0,0,0,0,0,307.69,0,5.96,0.79,0,0,1.64,0,25.39,0,0,0,0,0,0,2.98,0,0
 60-70,0,0,0,0,0,220.5,0,1.39,0,0,0,0,0,6.85,0.66,0,0,0,0,0,0,0,20.67
 72-82,0,0,0,0,0,133.69,0,2.77,4.1,0,0,0,0,12.09,0,0,0,0,0,0,0.92,0,0
 84-94,0,0,0,0,0,166.89,0,0,1.29,0,0,4.85,0,13.13,0,0,0,0,0,0,0,0.78,0
 96-106,0,0,0,0.88,0.87,79.26,0,0,0,0,7.05,0.81,0,0.83,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,108.2,0,0.8,3.21,0,0,3.97,0,9.08,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,74.73,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
