stage,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.87,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0.96,0,0,0,0,0,2.51,1.04,0,1.26,0,0
 24-34,0,0,0.68,0,0,0.88,0,0,0,0.69,3.17,3.09,2.79,1.07,0,0,0,0,1.26,6.39,0,0,0,0
 36-46,0,0,1.04,0,0,0,0,0,0,1.37,8.2,10.02,6.18,0.55,0,0,0,1.79,0,11.33,0,4.68,0,0
 48-58,2.9,0,2.93,0,0,0,0,0,13.95,0,9.93,3.26,11.11,0,0.6,0,0,0,0,0.6,0,0.39,0,1.96
 60-70,0,0,0.6,0,0.62,0,0,0,2.52,0,20.35,2.65,0,0,0,0,0,3.07,0,1.85,0,2.66,0,1.98
 72-82,0,0,0.58,0,0,8.8,0,0,4.4,0.5,26.59,1.14,17.94,1.56,0,4.13,0.84,0,0,0,0,17.05,0.52,2
 84-94,0.56,0,1.11,0,0,5.44,1.03,0,3.04,0,16.7,0.82,1.88,1.49,0,0,0,0,0,1.27,0,5.49,0,1.67
 96-106,0,0,4.83,0,0,24.26,0,0.68,10.14,0.68,7.94,0,5.62,0,0.81,4.63,0,0,0,0,1.15,10.43,0.83,5.71
108-118,0,2.38,8.3,0.46,0,7.89,0,0,17.97,1.06,31.18,1.64,2.72,0.8,0,0.54,0,0.66,0,0,0,20.29,0,7.12
120,0,0,0,0,0,0,1.61,2.11,7.22,1.64,4.33,3.83,5.67,0,0,0,0,14.84,0,0,0,0,0,17.91
