stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,201.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.1,136.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.08,0,0,0,0,7.68,0,0,0,0,0,0,0
  7-9,0,4.72,47.46,0,0,23.51,0,0,0,26.76,0,0,0,0,0,0,0,0,0,262.3,0,0,0,101.62,0,0,0,0,0,0,0,0
 10-12,0,3.32,66.18,0,0,22.34,0,0,0,7.89,0,0,0,0,0,0,0,0,0,568.4,0,0,0,75.91,0,0,54.65,0,0,0,0,0
 14-21,0,0,0,7.58,6,18.31,0,7.3,0,0,0,0,0.87,0,0,0,4.99,0,7.45,256.75,0.83,0,1.88,0.86,0,2.69,0,6.61,93.89,2.8,0,0
 24-34,0,0,1.2,2.34,1.42,85.88,0,16.6,0,0,0.75,0,0,1.32,0,0.67,36.05,0,16.8,571.22,0,0,12.56,0,0,0,0,0,141.57,14.44,0,3.1
 36-46,0,0,0,1.99,4.4,185.87,0,4.84,0,0,0,0,0,0.65,0,0,9.67,0,4.59,300,0,6.46,1.21,0,0,0,0,0,117.11,4.59,0,0
 48-58,0,0,0,0,4.1,112.69,0,2.56,2.4,0,0,0,0.39,0,0,0,20.32,0.54,2.08,95.07,0,0.59,0,0,0,0,0,0,19.04,0.48,0,0.54
 60-70,0,0,0,0,0,54.73,0,9.01,0,0,0,0,0,0,0,0,3.66,0,0,53.1,0,0,0,0,0,0,0,0,2.49,1.02,0,0
 72-82,0,0,0,0,0,16.3,0,2.76,0,0,0,0,0,1.07,0,0,5.02,0,2.51,26.23,0,0,0,0,0,0,0,0,5.25,0,1.33,0
 84-94,0,0,0,3.63,0,23.15,0,2.11,0,0,0,0.68,0,0,0,0,3.71,0,0,18.14,0,0,0,0,0,0,0,0,0,1.84,0,0
 96-106,0,0,0,0,8.02,4.64,2.37,1.19,0,0,0,0,0,1.67,0,0,4.07,0,0,9.46,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.03,6.71,0,11.54,0.96,0,0,0.43,0,1.58,0.45,0,7.11,0,0.42,19.14,0,0,0,0,0,0,0,0,0,1.23,0,0
120,0,0,0,4.77,0,21.94,0,0,0,0,0,0,0,0,3.99,0,3.57,0,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0
