stage,epidermis,eye,glial,gut,immune,iridophores,melanocytes,mesenchyme,muscle,neural,otic,periderm,pronephros
 24-34,0,1.46,0,0,0,0,7.45,0,0,0,0,0.76,0
 36-46,0,0,0,0,1.04,0,174.05,0,0,7.45,0,0,0
 48-58,0.5,2.09,0,1.96,0,0,179.65,0,0.86,5.68,0,1.5,0
 60-70,0,1.17,0,0,0,0,98.53,0,0,7.97,0,0,0
 72-82,0,0,0,0,0,0,45.68,0,0,1.82,3.1,0,0
 84-94,0,0,0,0,0,1.25,57.96,0,0,0.94,0,0.56,0
 96-106,0,2.64,0,0,0.87,0,28.41,0,0,0,0,1.81,1.73
108-118,0,1.96,2.28,0,0.44,0.41,50.5,1.75,0,3.47,0,1,1.18
120,0,2.99,0,0,1.12,0,1.67,0,0,0,0,0,0
