stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.98,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,15.18,0,0,0,1.08,0,0,0,0,0,1.78,0,0,0,9.5,0,0,0,0
 36-46,0,0,0,0,0,0,1.06,2.45,0,0,0,2.58,0,0,0,0,0,1.67,1.2,0,0,15.25,3.93,0,0,0
 48-58,0,0.43,0,0,0,0,0,4.4,2.25,0,0,10.27,0,0,0,0,0,0,1.48,0,0,0.87,0,0,0,0
 60-70,0,10.8,0,0,0,0,0,2.67,0,0,0,31.6,0,0.81,0,0,0,10.59,3.65,0,43.98,6.02,0,0,0,0
 72-82,0.93,3.39,0,0,3.06,0,3.74,12.69,0.91,0,0,43.21,0,2.97,0,0,0,17.93,0,0.53,0,0,0,0,0,0
 84-94,0,2.62,0,0,0,0,0,58.91,0,0.58,0,29.51,0,3.51,0,0,0,9.36,0.68,0,3.64,3.23,0,0,0,0
 96-106,1.72,27.68,6.79,0,20.97,0,2.18,527.92,0,3.42,4.37,27.54,10.79,6.33,5.14,0,1.46,30.89,0,0,0.59,6.57,0,5.55,2.33,3.29
108-118,1.11,2.12,0,1.51,3.71,2.24,0,395.13,0,0.56,0,8.95,0,5.9,1.38,0,0,10.58,2.19,0,3.17,2.78,0,0,0.57,0
120,0,0,0,0,0,0,0,335.57,0,0,0,4.57,0,0,2.21,8.98,0,9.19,0,0,0,0,0,0,3.6,0
