stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,179.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,81.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0,0,0,0,0,0,0,0,42.4,0,0,0,11.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.15,0,0,0,15.87,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.01,2.92,1.1,3.52,0,0,0,1.19,0,0,0,0,0,0,0,0,0,5.96,0,0,4.84,50.49,0,0,0,0.84,0,3.48,5.85,0,0,13.28,17.46,0,0,0,0,0
 24-34,0,0.75,0,1.49,0,5.74,0,1.73,1.02,2.08,0,0,0.68,0,1.22,0,0,0,0,26.28,0,0,8.36,159.47,1.4,1.19,0,0,0,5.02,0,1.58,0,0,55.53,0,0,7.05,0,0
 36-46,0,0,0,2,0.57,23.07,0.67,0,0.57,24.3,0,0,0,0,0,0,0.67,0,1.8,19.22,0,7.67,1.93,266.51,2.04,1.93,0.72,0,8.24,11.42,0,0,4.61,0,73.27,0,0,4.12,0,0
 48-58,0,0,0,0.75,0,58.92,0,0.56,0.5,62.52,0,0,0.71,3.56,0,0,0,0,2.82,26.37,0,0.99,11.4,219.62,1.38,0,0.44,0,0,8.04,0,0,0,0,66.37,0,0.61,0.4,0,0
 60-70,0,0,0,5.51,0,69.33,0,0,0.86,50.23,0,0,1.7,0,0,0,0.63,0,0,68.32,0,8.37,5.4,172.67,2.9,2.88,2.02,0,0,9.56,0,0,0,0,51.33,0,0,1.7,1.13,0.7
 72-82,0,1.51,0,3.69,1.12,59.99,0,0,11.92,31.96,0.99,0,0,0.59,0,0.64,1.52,0,0,42.56,0,0.67,5.38,90.83,2.3,0.79,1.6,0,2.81,5.15,0,0,0,0,6.22,0,2.78,2.31,3.15,0
 84-94,0,2.08,1,7.7,2.69,45.31,0,0.75,5.06,48.6,2.93,0,0,2.05,0,3.69,0,0,0,60.7,0,3.04,3.62,142.5,0,0,2.25,0,0.6,14.07,0,0,0,0,18.58,0,10.6,3.33,6.78,0
 96-106,0,0,0,2.6,2.44,65.78,0,0,1.57,35.37,1.81,0,0,2.37,0,0.71,0,0,0,34.94,3.12,1.85,1.95,104.87,0,3.77,6.67,0,0,1.74,0,0,0,0,1.13,0,0,2.36,0,0
108-118,0,0,0,5.27,1.71,44.53,0,4.98,1.93,29.79,1.32,0,0,0.88,0.51,0,0,0.45,0,52.36,0,0,3.22,81.12,0,2.33,0,0,0,13.28,0,0,0,0,0,1.29,0,1.19,2.03,3.81
120,0,0,0,1.21,0,18.08,0,0,0,33.47,14.08,0,0,0,0,2.93,0,0,0,16.91,0,0,11.58,99.53,2.82,0,0,0,0,6,0,0,0,0,0,0,0,10.22,2.09,0
