stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13,0,0,0,7.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,14.04,0,0,0,4.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.7,0,0,0,23.51,0,0,5.55,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.74,1520.53,5.93,0,10.6,0,46.99,0,0,1,0,0,0,2.05,0,30.63,0,44.1,2.86,0,52.74,201.98,14.42,1.54,14.58,0.85,0,207.87,0,10.15,1.84,13.27,58.45,32,0,0,0,0,0
 24-34,0,2.19,0.67,845.92,0,0,23.35,0.68,139.68,0.74,7.68,0.63,0,0.82,7.83,11.09,2.48,137.67,0.76,159.01,13.12,1.91,89.42,582.7,0,1.88,83.12,0,1.61,494.23,0,0,3.59,6.04,21.54,29.95,0,0,18.7,0,0
 36-46,0,0,0.96,390.74,0,0,40.19,10.42,162.42,14.99,29.91,0,4.4,0,0,11.73,1.91,118.02,0,198.92,7.3,4.01,49.28,397.95,1.04,1.92,75.34,0,2.85,875.56,0,0,0,3.32,0,56.85,0,0,6.97,0,4.96
 48-58,0,0,0,263.36,0,0,78.15,1.95,143.33,12.43,47.09,1.64,0.57,3.51,0,2.58,4.17,89.86,0,204.06,17.62,3.11,22.84,258.16,2.03,2.43,56.09,0,0.45,527.5,0,0,0,6.58,0,67,0,0,8.63,0,0
 60-70,0,0,0,205.09,0,0,118.89,0.97,210.27,20.54,26.79,1.77,0,5.12,0,25.03,1.91,78.53,1.71,241.77,11.34,8.8,14.14,297.76,3.3,1.42,56.13,0,0,387.65,0,0,4.84,0,0,26.12,16.08,0,0,0,3.16
 72-82,0,0,0,135.43,4.93,0,113.67,0,129.86,15.92,75.47,2.61,0,2.67,0,32.81,0,86.77,3.11,269.46,20.21,8.78,23.9,158.4,0,1.46,53.46,0,1.4,292.95,0,0,2.55,0,0,21.55,25.14,1.27,9.01,3.01,3.97
 84-94,0,0,0,258.47,6.18,0,82.64,2.17,210.99,18.25,78.67,8.19,2.46,6.84,2.47,29.11,0.79,90.72,2.17,360.33,28.93,2.63,12.85,154.33,0,2.77,121.6,0,0,837.21,0,0,1.7,1.75,0,10.05,100.71,5.29,0.67,3.39,8.99
 96-106,0,1.07,0,301.28,7.81,0,111.72,0,152.62,15.19,149.86,24.92,0,5.25,2.69,46.15,0,72.12,14.98,307.79,56.21,0,9.49,243.81,1.3,4.16,67.65,0,0,913.98,0,0,3.2,0,0,23.34,65,0.66,4.72,1.62,3.14
108-118,0,1.14,0,301.89,4.05,6.86,117.94,0,261.38,32.15,92.54,19.13,0,6.05,0,38.48,0,79.45,9.31,355.07,17.7,2.48,9.56,207.4,0,3.05,118.51,0,1.65,691.41,0,0,0,4.33,0,3.9,65.43,4.79,2.85,0,0.79
120,0,0,0,413.7,0,0,77.45,0,211.99,7.38,226.12,22.54,0,5.73,0,20.31,0,48.21,1.79,420.64,14.11,0,4.89,294.1,0,1.32,120.57,0,0,491.45,0,0,5.96,0,0,0,40.9,3.41,38.25,0,2.59
