stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,14.29,33.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,17.18,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.04,15.22,0,0,4.23,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.18,0,0,0,7.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.13,15.87,0,0,12.87,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.09,0,12.53,0.88,0,1.34,0,0,0,2.04,0.81,0.92,5.78,0,0,0,0,0,9.69,0,1.73,33.74,1.05,0,0,0.89,0,0,0,4.18,1.74,0,1.73,14.21,0,0,1.06,0,0
 24-34,0,0,0,0,6.78,0,0,3.2,0,0,0.71,6.48,0,0,24.12,0,2.57,0,0,0,7.11,0,2.68,53.7,0.6,0,0.67,0,0,6.62,0,0,0.61,0,1.71,17.93,0,0,6.39,0,1
 36-46,0,0,0,0,12.94,0,0,19.87,0,0,0,4.39,0,0,31.81,0,0,0,0,1.09,14.05,0,8.89,84.53,0.56,1.37,0.82,0,0,23.78,0.81,0,0,0,0,51.66,0,0,17.09,0,1.76
 48-58,0,0,0,0,6.37,0,0,44.87,0,1.26,0.5,19.91,0,0,51.53,0.46,0.83,0.47,0,3.49,25.02,0,10.28,156.92,0,0,0.64,0,0,9.05,0,0,15.18,0,0,41.84,0,0,14.16,0,0
 60-70,0,0,0,0,3.47,0,0,24.05,1.17,0,2.43,15.51,0.81,13.88,78.78,0,2.66,0.82,0,1.64,26.86,0.84,9.45,140.79,7.18,0,5.34,0,0,0.62,0,0,1.82,3.27,0,24,0,0,18.37,0,0
 72-82,0,0,0,0,3.84,0,0,70.97,1.78,0.51,0,44.89,1.64,2.41,93.09,0,6.49,0.74,0,4.96,90.31,1.48,4.07,148.05,1.15,5.24,1.82,0,0,4.71,0,0,1.71,0,0,20.68,0,2.01,13.3,1.65,0
 84-94,0,0,1.33,0,2.79,0,0,47.2,0.55,3.39,3.4,34.7,2.28,3.61,86.99,0,2.35,0.65,0,7.11,54.49,2.13,6.01,99.93,0,2.5,4.11,0,4.52,8.98,0,0,0,0,0,5.7,0,2.09,19.61,3.06,4.09
 96-106,0,0,1.08,0,6.19,0.96,0,51.17,2.82,0.6,8.61,35.75,1.85,0.75,134.84,1.23,1.45,0.62,0,2.4,58.31,0,10.33,66.15,0,3.4,2.04,0,4.98,19.45,0,0,0,0,0,1.67,2.64,0,29.12,1.5,8.27
108-118,0,0,1.59,0,9.94,1.98,1.21,20.7,0.54,0.56,10.49,30.5,1.1,0,103.61,0.49,6.45,0.48,0.48,5.73,58.91,2.24,7.74,139.43,0.77,1.58,16.19,0,2.52,14.16,0,0,2.18,0.53,0,5.51,0,0.67,8.21,0.84,0.46
120,0,0,0,1.28,25.28,1.32,0,10.41,0,0,1.52,43,1.28,0,192.49,0,12.97,1.84,0,0,49.01,2.58,6.43,191.91,0,0,7.37,0,0,20.36,0,0,1.21,0,0,10.6,0,0,23.36,5.91,0
