stage,epidermis,fin.epithelia,gut,heart,immune,ionocyte,mesenchyme,neural,taste
 24-34,0,0,0,1.37,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.8,0,0
 48-58,0,0,0,0,0,0,0.44,0,0
 72-82,6.58,0,0,0,0.54,0,0,0,0
 84-94,6.32,0,0,0,0.65,0,0,1.64,0
 96-106,47.03,0.86,0,0,3.41,0.86,0,2.79,1.18
108-118,51.54,0,1.61,0,13.25,0.65,1.38,3.49,0
120,40.44,0,0,0,6.46,0,0,0,0
