stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,106.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.87,0,0,0,0,0,0,0,0
  5-6,104.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98,0,0,0,0,0,0,0,0
  7-9,28.92,0,0,0,37.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342.46,8.5,0,0,288.23,0,0,0,0,0,0,0,0,0,0
 10-12,94.67,33.18,0,28.18,45.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.02,17.91,0,0,292.31,0,3.1,0,18.44,0,0,0,0,0,0
 14-21,0,2.04,253.06,6.28,25.43,0,11.01,0,0.98,2.86,0,6.18,0,0,0,0,0,0,58.77,0,0,1.79,264.76,1.75,2.21,4.54,12.95,0,6.8,7.65,1.83,59.32,0,0,1.66,0,0
 24-34,0,0,51.43,0,69.74,0,47.04,0,7.16,2,0,8.22,0,0,0,1.76,0,0,14.96,0.62,0,1.97,472.09,1.2,0.68,5.32,0,0,57.68,0,5.09,48.79,0,0,1.86,0,0
 36-46,0,0,22.63,0.76,36.68,0,48.96,0,22.15,0,0,13.43,0,0,0,0,0,0,10.43,0.58,0,1.65,679.76,0,2.29,0.78,0,0,58.47,0,2.58,45.75,0,0,0.87,0,2.21
 48-58,0,0,9.62,0,55.4,0,17.03,0.96,20.76,0.49,0,7.11,0,0.38,0,0.39,0,0,15.91,0,2.26,0.83,450.42,0,1.28,1.67,0,0.39,33.54,0,0.53,35.9,0,0,3.98,0,4.07
 60-70,0,0,12.78,0,201.14,0,26.66,6.76,52.96,0,0,2.81,0,0,0,0,0,0,39.66,0,0,2.44,343.2,0,5.7,9.57,0,0,14.08,0,7.09,28.25,0,0,0.87,2.76,15.1
 72-82,0,0,0.88,0,189.92,0.5,26.34,4.19,30.51,0,0.59,7,0,0,0,0,0,0,20.71,0.83,5.49,2.91,222.7,0,4.95,2.58,0,0,9.53,0,0,24.78,2.24,0,2.81,1.24,0
 84-94,0,0,17.87,0,180.62,0.73,20.23,0.64,32.48,0,0,1.84,0,0.68,0,0,0,0,13.05,0,3.76,1.41,170.61,0,6.8,9.74,0,0,8.45,0,0.62,5.56,2.43,0,2.38,2.16,0
 96-106,0,0,10.95,0,310.97,0,13.71,0,43.36,0.71,0,6.11,1.1,5.76,0.61,0,3.85,1.5,13.86,0,0,1.95,146.34,0,7.94,3.13,0,0,5.72,0,0.9,0,2.41,3.42,1.81,1.41,0.85
108-118,0,0,1.41,0,229.9,0,18.94,4.05,36.03,0.78,0,0,0,1.57,2.46,0,0,0,25.96,0,0,0.58,129.13,0,3.77,4.74,0,0,4.9,0,5.79,5.53,1.3,0,0,3.15,0
120,0,0,2.35,0,100.76,0,33.12,0,50.04,0,0,0,1.61,0,0,0,0,0,8.27,0,0,0,218.03,0,9.06,0,0,0,19.04,0,3.09,1.19,2.24,0,0,0,0
