stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.52,521.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.19,0,0,0,0,0,0,0,0,0,0
  5-6,72.27,925.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.27,0,0,0,29.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.42,49.08,49.3,0,0,62.31,0,0,0,0,0,26.05,0,0,0,0,0,0,0,0,0,0,912.4,16.9,0,0,319.77,0,0,4.3,0,0,0,0,0,0,0,0,0
 10-12,0,42.56,33.6,0,6.13,170.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1126.9,54.09,0,0,323.08,0,3.81,5.47,0,33.08,3.87,0,0,0,0,0,0
 14-21,0,1.36,2.99,21.78,3.42,21.48,0,0,0,10.14,0,0,0,0,1.79,0,0,0,15.07,0,0,21.37,359.54,15.55,2.32,0.94,10.2,0,15.9,0,13.69,2.16,13.32,102.38,0,0,1.75,0,0
 24-34,0,0,0,9.66,2.11,74.72,0,0,0.63,9.62,0.71,0,0,0,0.62,0,1.38,0,41.15,0,1.7,18.77,547.9,0,0,2.68,0,0,24.51,0,1.15,0.7,0.63,100.01,0,0,7.9,0,0
 36-46,0,0,0,3.94,2.57,126.95,0,1.12,0,7.68,0,0,0.56,2.12,0,1.95,0,0,27.46,0.63,0.77,7.75,230.25,0,2.15,3.55,0,0,12.86,0,0,0,0,45.51,0,0,3.71,0,0.66
 48-58,0,0,0,3.88,0,123.63,0,0,0,10.69,0,0,0,1.69,0,0,1.15,0,24.97,0,1.22,5.18,99.71,0.91,0,0.46,0,0,4.63,0,0,0,0,17.16,0,0,2.51,0,1.3
 60-70,0,0,0,11.07,1.27,88.03,0,0,0,6.36,1.36,0,0,0,0,0,2.87,0,34.79,0,0,2.62,50.14,2.33,0.61,3.65,0,0.63,4.7,0,0,0,0,5.52,0,0,0,0,0
 72-82,0,0,0,3.84,0.57,25.14,0,0,0,15.94,0,0,3.65,5.65,1.63,0,0,0.62,40.45,0,0,2.5,44.51,0,0,0,0,1.41,1.87,0,0,0,0,3.72,0.67,0,11.73,2.11,2.01
 84-94,0,0,0,5.7,1.65,26.08,0,0,1.73,10.79,2.32,0,0,2.78,2.29,0,0,0,33.07,0,4.22,11.46,38.88,0,0,2.8,0,0,2.79,0,0,0,0,1.03,0,0,5.58,0,0
 96-106,0,0,0,6.97,7.77,15.64,0.79,0,0,9.77,0.7,0,0.66,5.8,0,0.95,0,10.13,29.61,0,1.06,4.32,33.02,0,0.56,0,0,0,6.35,0,0,0,0,3.63,0,4.16,4.27,0,0
108-118,0,0,0,9.77,1.7,22.79,0,0,1.08,9.37,1.35,0,1.48,5.23,0.44,1.38,0,0.57,20.26,0,0,1.19,45.46,0,1.44,3.27,0,0,6.76,0,0,0.43,0,1.28,0.58,0,3.33,2.7,0
120,0,0,0,6.03,3.07,32.35,0,1.42,0,16.36,0,0,0,4.69,0,0,0,0,59.1,0,0,7.82,54.86,0,0,3.28,0,0,7.82,0,0,0,0,0,0,0,3.52,0,0
