stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,21.49,90.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.12,77.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.71,0,3.91,0,0,0,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,152.62,24.73,0,0,67.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,4.95,0,22.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.79,7.15,0,0,69.22,0,0,0,0,0,0,0,0
 14-21,0,1.36,0,11.04,3.89,0,2.2,0,0,2.62,0,0.94,0,0,0,0,0,4.85,4.33,0,0,5.18,44.96,31.78,0,1.04,0.99,0,9.07,0.81,0,26.89,19.86,0,0
 24-34,0,0,0,0.72,0,0,2.08,0,0,0,1.13,0,1.22,0.6,1.42,0,0,2.44,5.6,0,0,6.45,45.86,0,0,0,0,0,0,3.08,0,0,3.83,8.48,0
 36-46,0,0,0,0,0,0,0,0,0,0.64,0.83,5.17,0,1.96,0,0,0,6.07,2.24,0,0,0,19.64,4.12,0,0,0,3.15,0,0,0,0,1.12,0.81,0
 48-58,0,0,0,0,0,0,3.71,0,0,0,4.55,0.98,0,0,0,0,0.7,7.25,0.86,0,0,3.61,12.72,0.42,0,0,0,2.15,0,0,0,0,1.91,0.47,0
 60-70,0,0,0,0.65,0,0,35.83,0,0,0,3.92,5.95,0,3.78,1.74,0,0,5.19,3.05,0,0,0,14.87,0,0,0,0,9.66,0,0.59,1.34,0,0,1.31,0
 72-82,0,0,0,0,0,0,15.42,0.91,0,1.95,8.57,1.13,0.88,0,0,0,0.71,37.46,6.28,0,0,0,37.21,0,0,0,0,5.05,0,5.53,0,0,4.23,0,1.13
 84-94,0,0,0,0.94,0,0.72,14.44,0,0,0.69,36.86,2.93,0,0.83,0,0.76,0,97.34,13.2,0,0,0,27.39,0,0,0,0,5.98,0,7.12,0,0,0,0,0
 96-106,0,0,0,1.48,6.87,0.9,14.31,0,1.46,1.35,31.02,0,0,0.83,0,0,0,118.51,6.51,7.12,0,0,28.74,0,0,1.08,0,9.04,0,0,0.76,0,3.25,3.6,0
108-118,0,0,0,9.68,7.77,10.55,5.15,0,0,5.1,54.81,0,0,0,0,0,0,272.98,11.4,0.91,0,2.23,44.94,0,0.42,0,0,6.06,0,5.65,1.4,0,1.05,2.44,0
120,0,0,0,6.12,2.38,5.49,15.99,5.69,0,0,36.78,0,0,1.34,0,0,1.11,180.85,2.39,0,5.84,0,29.73,2.06,0,4.96,0,4.04,0,2.24,0,0,2.78,2.4,0
