stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,somites,spinal.cord,vascular.smooth.muscle,vasculature
  3-4,15.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.63,6.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.57,0,0,0,0,0,0,0,0,0,23.91,6.44,0,8.42,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,14.45,7.26,0,15.13,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0.82,5.36,0,0
 24-34,0,0,0,0,0,0,0,0,6.25,0,2.44,6.42,0,1.65,0,0.61,0,0,1.33
 36-46,0,0,0,0,0,2.29,0,0.64,10.69,0,1.13,4.13,0.62,0,0,0,0,0,0
 48-58,0,0,0.63,0,0,0,0,0,17.76,0,5.69,17.17,0.44,0,0,0,0.74,0,0
 60-70,0,0,0,0,19.98,0,0,0,78.66,0,1.75,5.11,6.51,0.79,0,0,0,0,0
 72-82,0,0,0,0,2.92,3.31,0,0,75.93,0,1.93,5.03,5.64,0,0,0,0,0,0
 84-94,0,0,0,0,7.44,1.36,0,0,73.59,0,4.25,4.43,1.99,1.04,0,0,0,0,0
 96-106,0,0,0,0,1.74,0,1.52,0.72,56.7,2.72,2.42,0,3.13,0,0,0,0,0,0
108-118,0,0,0,0.51,1.22,0,0,0,54.33,0,0.59,2.51,0.48,0.75,0,0,0,4.67,0
120,0,0,0,0,6.94,0,0,0,73.76,0,0,3.52,4.6,0,0,0,0,0,0
