stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,spinal.cord,vasculature
  3-4,37.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.5,0,0,0,0,0,0,0,0,0,0,24.69,0,0,0,5.31,0,0,0,0
 10-12,0,0,0,0,0,3.98,0,0,0,0,0,0,0,39.02,0,0,0,15.83,0,34.45,0,0
 14-21,0,0,0,1.96,31.11,0,0,0,0,0,0,0,7.53,9.81,0,0,0.92,0,0,182.15,1.97,1.24
 24-34,0,0,0,0,0,0,0,0,0,0,2.96,0,0,15.82,0,1.07,5.13,0,0.7,2.04,2.66,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4,0,0,12.79,0,0,20.14,2.47,0
 48-58,0,0,0,0.38,0,1.98,5.27,2.02,0,0,0.51,0.58,0.6,13.74,0,0,3.73,0,0,8.65,0,0
 60-70,0,0,0,0,0,0.88,0,0,0,0,0,0,0,16.58,0,2.97,8.07,0,0,11.27,0,0
 72-82,0,1.65,0,0,0,11.4,0,3.79,0,0,0,0,0,19.96,0,0,8.88,0,0.64,0.64,0,5.24
 84-94,0,0.56,0,0.55,0,3.82,2.04,6.05,0,0,0,0,0,4.37,0,0,15.09,0,3.73,11.48,2.26,0
 96-106,0,2.17,0,0,0,1.24,0.57,9.87,0,0,0.65,0,4.96,11.14,0,0,17.74,0,1.46,3.24,0,0
108-118,0,0.71,0,1.42,1.91,0,0.85,13.39,0.59,0.43,1.07,3.28,8.14,5.9,0,0,20.82,0,1.46,5.81,0,0
120,0,0,0,0,0,0,3.68,35.57,0,0,6.76,0,9.98,12.04,3.31,0,25.65,0,0,5.11,0,0
