stage,blastomeres,endoderm,eye,glial,iridophores,melanocytes,mesenchyme,mural_cell,neural,periderm,spinal_cord,vasculature
  3-4,12.77,0,0,0,0,0,0,0,0,0,0,0
  5-6,20.47,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,3.3,0,0,0,0,0,0,12.18,0,0,0
 10-12,0,0,6.78,0,0,0,0,0,8.42,0,0,0
 14-21,0,0,0,0,0,0,0,0,6.86,0,0.88,0
 24-34,0,0,1.79,0.6,0,0,0,0,11.45,0.83,4.87,0.64
 36-46,0,0,0,0,0,0,0.69,0,11.34,0,1.4,0
 48-58,0,0,5.54,0,0,0,0.38,0.6,11.49,1.38,0.98,0
 60-70,0,0,3.62,0,0,0,1.05,0,8.96,0,0,0
 72-82,0,0,1.54,1.77,3.49,0,1.16,0,2.28,1.89,0,0
 84-94,0,0,0.99,0,0,5.22,0,0,2.2,0,0,0
 96-106,0,0,2.62,0,0,0,0.57,0,0,0,0,0
108-118,0,0,1,0,0,0,0,0,19.34,0,0,0
120,0,0,0,8.87,0,0,0,0,0,0,0,0
