stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,756.53,16956.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2038.52,0,0,0,0,0,0,0,0,0,0,0
  5-6,970.47,11344.91,0,10.68,0,0,0,0,0,0,0,0,0,66.32,0,0,0,0,0,0,0,0,0,493.8,62.64,0,0,145.32,0,2161.73,0,0,0,0,0,0,0,0,0,0,0
  7-9,463.21,168.62,0,298.97,0,0,0,269.37,0,0,0,0,0,292.19,0,0,0,0,0,0,0,0,0,4377.46,306.9,0,0,2124.95,0,641.48,100.34,0,0,0,0,0,0,0,0,0,0
 10-12,0,43.51,0,538.33,0,9.65,0,94.87,0,0,0,0,0,151.52,0,0,0,0,0,0,0,0,0,3388.77,49.55,0,0,255.09,0,185.05,26.06,0,83.06,0,0,0,0,0,0,0,0
 14-21,0,0,5.51,15.98,380.64,4.27,0,1.81,0,4.88,0,0,16.87,10.35,0,0,63.4,0,0.84,0,14.56,5.12,1.71,67.36,0,11.85,13.18,8.22,0,674.75,3.42,8.63,2.4,0,10.24,8,0,0,1.06,0,0
 24-34,0,0,5,5.69,219.33,0,0,6.87,0,34.39,0,7,2.31,3.25,0,1.8,94.95,0,18.63,0.69,12.92,42.87,2.39,221.03,0.73,56.95,20.64,0,0,1545.11,0,0,7.97,0,0.62,11.8,0,0,0.87,0,0
 36-46,0,0,0,1.19,169.93,0,0,4.29,0,45.89,0.95,6.07,0,4.16,0,0,72.17,0,7.46,1.97,5.48,33.08,1.12,225.69,1.01,72.23,11.71,0,0,2071.94,0,0,12.46,0,0.7,12.03,0,0,0,0,0
 48-58,0,0,1.41,0,110.77,0,0,19.78,0,61.17,0,3.43,5.71,13.29,0,2.44,49.87,0,7.38,0.66,10.6,50.16,2.02,212.45,0.99,45.16,13.99,0,0,1215.83,0,0,0,0,0,18.31,0,0,1.31,0,0
 60-70,0,0,1.34,0,166.57,0,0,24.59,0,71.69,0,0.71,7.73,2.82,0,0,36.79,0,31.15,0,10.2,46.44,1.15,114.17,0,55.76,8.49,0,0,1100.58,0,0,1.25,0,0,7.82,11.42,0,0,0.71,0
 72-82,0,0,4.32,0,138.7,5.42,0,26.28,0.59,34.24,0,0.79,17.01,7.91,0,1.17,50.72,0,24.43,0,10.19,64.65,1.18,63.08,0,57.25,8.58,0,0,759.27,0,0,0.76,2.68,0,0,37.22,0.81,0,0,1.88
 84-94,0,0,4.44,0,253.25,6.01,0,22.62,0,100.09,0.75,3.55,40.01,1.48,0.7,0,65.31,0,24.18,2.64,11.18,62.55,0,69.66,0,92.05,10.72,0,0,1714.53,0,0,0.74,0,0,2.96,134.12,6.91,0,0,0
 96-106,0,0,3.27,0,294.08,11.49,0,50.07,0,82.82,0,15.95,78.11,2.12,0,2.52,75.99,0,32.2,0.86,24.35,96.07,0.78,119.75,3.38,84.13,14.34,0,2.27,1470.89,0,0,0.9,0.71,0,0,209.93,0,0,0.93,0
108-118,0,0,2.89,0,374.71,3.35,2.82,30.86,0,136.92,1.37,8.96,109.23,0,0,3.88,98.8,0.44,33.12,0.51,24.68,105.78,2.35,84.92,0.85,94.98,2.18,0,0,1342.01,0,0,1.9,0,0,0,264.45,0,0,0.57,0
120,0,0,0,0,410.1,0,1.8,20.8,0,127.5,0,5.98,66,0,0,9.69,78.35,0,32.02,1.23,0,41.97,0,78.15,2.98,87.95,5.45,0,0,1017.74,0,0,0,0,0,0,117.91,0,12.02,0,0
