stage,blastomeres,epidermis,eye,fin.mesenchyme,glial,gut,hatching.gland,immune,liver,mesenchyme,mural.cell,muscle,neural,paraxial.mesoderm,periderm,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,101.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,46.8,0,0,0,0,0,0,0,0,0,0,0,7.43,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.61,0,0,0,0,0,4.54,14.11,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,11.64,0,0,0,0,0,0
 14-21,0,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.81,0,0.79,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0
 72-82,0,0,0,1.04,0,0,0,0,0,1.28,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,2.33,0,0,0,1.08,0,0,2.01,0,0,0,0,0,0
 96-106,0,1.73,0.78,1.39,0,0,0,6.59,0,1.03,0,0,0,0,0.88,0,0,0.96,0.81
108-118,0,2.22,0,0,0.43,0.53,0,4.02,0.99,0.8,0,0,3.47,0,2.58,0,0,1.93,0
120,0,0,2.38,0,0,1.25,0,0,0,0,0,1.32,3.92,0,1.22,0,0,1.41,0
