stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  5-6,6.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.67,0,0,0,0,0,0,21.61,0,0,0,0,0,0,0,0,0
 10-12,0,4.33,0,4.55,0,0,0,0,0,0,44.89,0,0,0,7.62,0,0,0,0,0
 14-21,0,0,0,1.16,0,0,0,0,0.84,0,3.75,0.81,0,0,0,2.27,5.7,0,0,0
 24-34,0,0,0,0,0,0,0,0,2.23,0,10.03,0,0,0,0,0,1.59,0,0,0
 36-46,0,0,0,0.64,0,0,0.56,0,0,0,25.87,0,0,0,0,0,3.12,0,0,0
 48-58,0,0,2.93,1.5,0,0,0.4,0.37,1.42,0,30.08,0,0,0,0,0,2.16,0,0.95,0
 60-70,0,0,0,11.94,0,1.72,0,0,0.95,0,17.9,0,1.75,0,0,0,5.29,0,0,0
 72-82,0,0,0,10.6,0.58,1.51,0,0.64,3.77,0,7.24,0,0,0,0,0,1.13,0,0,0
 84-94,0,0,0,5.99,0,0,0,0,5.72,0,12.34,0,0,0.84,0,0,0,0,0,0
 96-106,0,0,0,0.57,0,4.11,0,0,0,0,4.88,0,0,0,0,0,1.91,0.67,0,2.23
108-118,0,0,0,1.48,0,1.93,0,0,2.44,0,15.86,0,0,0,0,0,1.17,0,0,0
120,0,0,0,0,0,1.81,0,0,0,2.28,65.94,0,0,1,0,0,0,0,0,0
