stage,axial,blastomeres,neural,olfactory,paraxial.mesoderm
  5-6,0,51.38,0,0,0
  7-9,3.82,5.38,30.18,0,3.87
 24-34,0,0,2.13,0,0
 48-58,0,0,7.93,0,0
108-118,0,0,0,0.77,0
