stage,eye,fin.epithelia,heart,ionocyte,mesenchyme,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature
  7-9,0,0,0,0,0,0,6.98,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,6.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,0.92,0.93,0.99,0,0,0,0,1.11,0,1.03
 24-34,0,0,0,0,0,0,3.86,0,0,0,0,2.16,0,1.14
 36-46,0,0,0,0,0,0,3.61,0,0,0,0,0.74,0,0
 48-58,1.64,0,0,0,0.52,0,3.43,0.97,0,0,0,0,0,0
 60-70,1.55,0,0,0,0,0,1.39,0,0,0,0,1.12,0.56,0.57
 72-82,0,0,0.51,0,0,0,5.41,0,0.77,0.73,0,0,0.66,0
 84-94,0,0,0,0,5.84,0,1.09,0,1.31,0,0,0,0,0
 96-106,6.32,2.37,0,0,0.64,1.55,2.64,3.7,0,0,0,0,1.03,4.2
108-118,0.43,0.43,0,0.74,3.49,0,10.16,2.9,0,0,0,0,0,0
120,0,0,0,0,0,0,1.62,0,0,0,2.39,0,0,0
