stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord
  3-4,67.51,1611.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.52,0,0,0,0,0
  5-6,51.48,990.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2,0,0,8.83,165.45,0,0,0,0,0
  7-9,25.26,65.63,38.79,0,0,108.53,0,0,0,0,0,35.24,0,0,0,0,0,0,0,0,710.98,26.57,0,338.91,17.33,8.05,0,0,0,0
 10-12,0,5.05,6.15,0,0,29.49,0,0,0,0,0,7.9,0,0,0,0,0,0,0,0,218.08,22.03,0,106.6,4.05,4.37,5.22,0,0,0
 14-21,0,0,0.9,39.06,1.08,0,0,11.19,0,5.85,0,0,2.74,0,0,0,9.4,0,0,8.31,8.35,0,0,0,5.59,0,0,0,2.91,0.81
 24-34,0,0,0,9.66,0,0.65,0,78.14,0,0,1.71,0,1.35,1.28,2.05,0,12.81,0,0,2.14,13.69,0,0,0,6.45,0,5.51,6.18,3.03,0.75
 36-46,0,0,0,4.4,0,0,0,117.8,0,0,0.59,0,0.88,0,0,0,5.9,0.87,0,0,3.72,0,6.26,0,78.69,0,19.34,0,0,0
 48-58,0,0,0,1.45,0,0.55,0,67.19,0,0.52,0,0,0,0,1.91,0,4.8,0,2.52,0,5.24,0,0,0,156.19,0,8.13,0,0,0.53
 60-70,0,0,0,0,0,6.05,0,41.6,0.84,0.67,0,0,0,0,0,0,0,1.46,0,0,0.92,0,0,0,97.08,0,2.05,0,0,0
 72-82,0,0,0,4.44,0,0,0,19.28,0,1.21,0,0,0,0.83,0,0,6.58,0.95,0,0,0,0,0,0,106.41,0,6.73,0,0,0
 84-94,0,0,0,0.82,0,8.89,0,82.8,0,0,0,0,0,0,0.81,0,1.98,1.18,0,0,0,0,0,0,184.66,0,12.86,0,0,0
 96-106,0,0,0,2.83,0,1.24,1.05,15.63,0,2.51,2.23,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2,0,7.95,0,0,0
108-118,0,0,0,3.71,0,0,0,64.95,0,0,1.45,0,0,0,0,1.06,4.98,0,0,0,5.03,0,0,0,56.88,0,7.18,0,0,0
120,0,0,0,0,0,2.21,0,31.67,0,0,12.54,0,0,0,0,0,3.73,0,0,0,14.52,0,0,0,12.06,0,1.56,0,0,0
