stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,10.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.37,0,0,0,7.88,0,0,0,0,0,0
 14-21,0,0,0.95,0,1.8,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,1,12.74,0,0,0.81,0,0,5.43,0,0,0,0
 24-34,0,0,0,0,0.69,0,0,0,0.65,0,0,0,0,0,0,0,0.9,0.63,0,0,77.17,0,0,0,0,0,16.96,0,6.99,0,0.63
 36-46,0,0,0,0,2.89,0,1.05,0,0,0,0,0,10.06,0,0,1.14,15.93,1.75,0,0,177.28,0,0,0,0,1.41,39.27,0,8.12,0,0
 48-58,0,0,3.15,0,14.61,0.97,0,0,3.03,0,0.54,0,0,0.38,0,0,0,2.93,0,2.06,238.67,0,0,0.7,0,0,31.8,0,0,0,1.08
 60-70,0,0,3.66,1.17,18.69,0,0,0,3.13,4.11,0,0,0,0,0,0,2.08,18.36,0.81,0,493.8,4.5,0.72,0,0,0,44.68,0,0,0,6.31
 72-82,0,0.64,1.54,4.21,43.51,0,0.55,6.09,9.72,0,0,0,1.73,1.66,0,0,0,9.95,0,0,473.5,0,0,0,0,0,28.21,0,0,0,0.82
 84-94,0,0,1.81,6.7,34.3,0,0,0,7.16,0,0,0,0,0,0,0,0.96,8.62,0.73,0,369.96,1.11,1.39,0,0,4.14,11.3,0,0,0,4.82
 96-106,0,0,1.54,0,26.34,0,0,2.73,3.23,0,0,0,0,0,0,0,1.15,5.07,0,0,294.03,0,1.44,3.65,0,0,12.93,6.8,4.18,0,0
108-118,0,0,7.46,0,37.49,0,0,0,13.82,0.81,0,0.63,0,0,0,0,0,5.59,0,0.69,428.45,0,0.61,0,0,0.77,14.35,0,0.69,0.42,3.28
120,0,0,3.4,0,8.88,0,0,0,10.66,0,0,0,0,0,4.75,0,0,0,0,3.87,730.83,0,4.78,2.56,0,8.68,43.27,0,0,0,0
