stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,gut,hatching_gland,immune,ionocyte,lateral_line,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,taste
  3-4,11.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,40.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.13,0,0,0,0,0,0,0,0,0,0,0,0,4.91,0,3.85,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.83,0,0,0,0
 14-21,0,2.79,1.39,2.58,0,0.87,0,0,1.29,0,0.96,0,2.81,0.85,5.44,0,0,1.36,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.08,2,2.6,0,0,9.25,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0.61,2.5,0,1.4,0,0,9.47,0
 48-58,0,0,4.06,0,0,0.47,0,0.49,3.27,0,0,2.09,0.69,0,5.46,0.44,0,0,0
 60-70,0,0,4.32,1.86,0,1.87,0,0.83,0,0,0,1.02,0,0,2.39,0,0,3.75,0
 72-82,0,0,0,0,0,0,0,0,1.17,0,0,3.19,1.31,0,3.43,0,0,1.32,0
 84-94,0,0,2.82,0,0,0.95,0,0,0,0,0,0.67,3.02,0,1.84,0,0,2.98,0
 96-106,0,0,1.94,0,0,1.52,0,0,0,0.87,0,4.41,0,0,0,0,0,0.77,0
108-118,0,0,0.62,0,1.78,0,0.48,1.28,0,0,0.68,3.62,0,0.49,0,0.75,0,1.45,1.21
120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.01,0,0,6.82,0
