stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,57,2845.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181.56,0,0,0,0,0,0,0,0
  5-6,18.72,510.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.79,0,0,9.41,0,7.41,0,0,0,0,0,0,0,0
  7-9,11.5,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66,0,0,0,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.39,0,0,3.55,0,6.22,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.84,2.18,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,0,0,0,0,0,0,0.84,0,0,0,0,0,0
 24-34,0,0,0,7.91,51.57,0.62,0,0,0,0,0,0,0,0,0,0,11.14,0,0,1.41,14.81,1.47,0,0,0,2.27,0,0,2.63,0,0,2.61,0,0
 36-46,0,0,0,2.38,23.44,0,0,0,0,1.07,0,0,0,0,0,0.61,51.92,0,5.63,18.79,18.78,0.58,0,0,0,2.96,0,0,2.69,0,0,0,0,4.25
 48-58,0,0,0,2.5,46.58,5.44,0,0.98,2.94,2.67,0,0,0,0,0,0,165.63,0,2.02,56.65,42.29,2.2,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,2.05,70.11,15.54,0,0,5.15,1.73,0.85,0,0,0,0,0,440.79,0,12.13,75.15,35.17,0,0,0,0,0,0,0,1.76,0,3.97,0,0.87,0
 72-82,0,0,0,12.12,358.03,20.49,0,0,7.63,4.35,0,5.65,0,0,0,0,570.8,0.56,31.59,94.29,43.04,0,0,0,0,0.57,1.65,0,5.06,0.88,19.14,4.51,23.7,4.07
 84-94,0,0,0,23.43,355.21,23.83,1.02,0,4.25,9.48,0,0,0,0,0.8,0,425.3,0,20.49,63.36,24.22,0.74,0.79,0,1.53,2.44,0,0,0,0,5.46,0.57,21.09,0
 96-106,0,0,0,7.92,406.41,19.97,0,0,7.6,0.75,2.5,0,0,0,0,0,395.24,0,12.38,45.78,51.03,0,0,0,2.32,0.9,3.39,0,0,0,3.9,0,20.4,0
108-118,0,0,0,4.92,332.24,15.48,0,0,6.49,9.9,3.61,0,0,1.25,0.63,0,519.79,1,32.03,50.79,47.73,0,0,0,2.11,1.2,0,0,0,0.46,3.36,2.71,21.89,1.31
120,0,0,0,8.93,245.65,7.66,1.43,0,5.01,0,0,0,5.59,0,1.76,0,460.76,0,58.19,41.53,68.87,6,1.43,0,7.89,0,0,0,0,0,12.79,0,27.59,0
