stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,44.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,19.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.4,0,0,13.62,0,0,4.98,0,0,0,0,0,0,0,0,49.1,0,0,5.59,0,0,0,0,0,0
 10-12,0,0,3.34,0,0,5.02,0,0,0,0,0,0,0,0,0,0,0,45.99,9.28,0,0,0,0,6.49,0,0,0
 14-21,0,2.78,0,0,39.39,0,0,0,0,5.47,35.73,0,0,0,0,3.76,0,7.73,0,0,1.12,0,1.04,2.38,3.6,3.56,3.61
 24-34,0,0.75,0,1.61,1.46,3.55,0,0,0,8.77,36.04,1.24,0.92,0,0,0.85,0,26.53,0,0,0,0,0,0,1.01,10.46,3.41
 36-46,0,0,0,0,0,3.54,1.29,0,0,17.75,3.59,0,4.72,0,0,0.68,0,43.08,0,0,0,0,0,0,0,5.68,0
 48-58,0,0,0,0,0,7.16,3.31,0,0,4.92,12.3,0.52,12.45,0,0,2.04,0,27.75,0,0,0,0,0,0,0,1.57,1.17
 60-70,0,0,0,0.77,0,16.82,0,0,0,4.45,14.52,0,16.52,0,0,2.94,0,27.42,0,1.42,0,0,0,0,0,1.13,0
 72-82,0,0,0,2.3,0,12.32,0,1.93,0,1.42,40.25,0,8.88,0.62,0,3.49,0,7.89,0,0,0,0,0,0,0,1.15,8.41
 84-94,0,0,0,0,0,3.41,1.31,3.36,0,2.48,51.45,0,15.08,0.57,0,0,0,6.3,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,5.61,0,0.7,0,12.78,53.68,0,23.14,3.8,0,0,0,5.39,0,0,0,1.01,0,0,0,0,4.65
108-118,0,0,0,8.27,2.21,4.16,0,0.71,0,9.38,65.2,0,21.7,3.6,0.93,0.93,0.56,15.26,0,0,0,0.45,0,0,0,0,9.46
120,0,0,0,3.12,0,10.8,0,6.19,0,4.32,117.8,0,10.19,0,0,0,0,14.33,0,0,0,0,0,0,0,1.7,2.15
